"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.5","1021.0","1020.3","2016/11/01 09:20:00","1017.0","2016/11/01 15:49:00","22.1","24.4","2016/11/01 14:00:00","20.4","2016/11/01 09:23:00","17.6","76","63","2016/11/01 15:36:00","9.9","50","20.4","40","2016/11/01 13:06:00","2.1","4.2","0.5","2016/11/01 03:49:00","1.0","2016/11/01 03:41:00","4.8","43.2","11.72","16.8","-5.0","7","2016/11/01 13:00:00","6.2","22.0","23.5","23.8","24.7","25.9","26.5","27.5"
"02","1018.6","1021.1","1020.4","2016/11/02 09:04:00","1017.3","2016/11/02 14:30:00","21.0","23.4","2016/11/02 12:54:00","19.7","2016/11/02 05:42:00","15.0","69","60","2016/11/02 22:45:00","9.6","50","19.2","50","2016/11/02 21:09:00","0.0","0.0","0.0","--","0.0","--","2.9","26.2","12.46","19.3","6.2","6","2016/11/02 12:00:00","8.3","20.9","22.7","22.8","23.8","25.1","26.0","27.3"
"03","1015.9","1018.4","1018.2","2016/11/03 00:02:00","1013.7","2016/11/03 23:52:00","21.6","24.0","2016/11/03 11:13:00","20.6","2016/11/03 05:35:00","15.2","67","58","2016/11/03 09:01:00","9.2","50","19.3","30","2016/11/03 00:39:00","0.0","0.0","0.0","--","0.0","--","4.2","38.0","12.20","16.3","4.9","6","2016/11/03 11:00:00","6.7","21.0","22.4","22.4","23.3","24.6","25.6","27.0"
"04","1011.4","1013.9","1013.9","2016/11/04 00:03:00","1009.5","2016/11/04 14:41:00","22.3","25.7","2016/11/04 12:38:00","19.8","2016/11/04 23:10:00","18.2","78","68","2016/11/04 12:38:00","5.3","50","13.4","50","2016/11/04 10:06:00","0.0","0.0","0.0","--","0.0","--","4.7","42.6","13.02","13.3","2.5","5","2016/11/04 13:00:00","5.0","22.3","23.1","23.0","23.4","24.5","25.3","27.0"
"05","1010.0","1012.5","1011.3","2016/11/05 08:43:00","1008.8","2016/11/05 15:08:00","22.7","26.8","2016/11/05 12:57:00","19.6","2016/11/05 00:15:00","19.8","84","66","2016/11/05 09:46:00","2.2","130","6.5","310","2016/11/05 13:44:00","0.0","0.0","0.0","--","0.0","--","9.7","88.0","16.80","8.3","4.7","6","2016/11/05 12:00:00","2.3","23.6","23.9","23.8","24.0","24.8","25.2","26.6"
"06","1012.4","1014.9","1014.6","2016/11/06 08:54:00","1010.2","2016/11/06 00:01:00","23.3","27.9","2016/11/06 12:08:00","17.5","2016/11/06 06:07:00","19.7","81","61","2016/11/06 09:18:00","2.4","30","9.7","30","2016/11/06 14:24:00","0.0","0.0","0.0","--","0.0","--","6.9","62.7","15.66","9.3","3.8","6","2016/11/06 12:00:00","5.0","23.9","24.3","24.0","24.3","25.0","25.3","26.5"
"07","1014.0","1016.5","1015.5","2016/11/07 08:02:00","1012.4","2016/11/07 14:00:00","24.3","28.8","2016/11/07 10:34:00","21.7","2016/11/07 23:57:00","20.6","80","63","2016/11/07 10:26:00","1.9","130","5.7","330","2016/11/07 13:42:00","0.0","0.0","0.0","--","0.0","--","7.0","63.7","14.97","10.7","3.4","5","2016/11/07 12:00:00","5.3","24.6","24.9","24.6","24.9","25.3","25.4","26.5"
"08","1016.4","1019.0","1020.1","2016/11/08 22:20:00","1013.5","2016/11/08 02:01:00","21.7","26.5","2016/11/08 12:03:00","18.4","2016/11/08 23:59:59","19.7","89","79","2016/11/08 12:03:00","5.8","40","18.9","50","2016/11/08 19:29:00","4.7","8.6","0.5","2016/11/08 12:20:00","1.1","2016/11/08 12:19:00","0.4","3.6","4.22","5.0","-0.5","4","2016/11/08 12:00:00","9.2","22.4","23.6","24.0","24.7","25.5","25.5","26.4"
"09","1018.1","1020.6","1020.7","2016/11/09 08:03:00","1015.8","2016/11/09 15:53:00","19.5","20.7","2016/11/09 14:04:00","17.7","2016/11/09 03:51:00","15.3","77","68","2016/11/09 15:53:00","8.1","50","18.1","40","2016/11/09 02:41:00","1.5","2.7","0.3","2016/11/09 03:10:00","0.5","2016/11/09 02:29:00","0.0","0.0","6.39","10.7","-1.9","3","2016/11/09 14:00:00","9.2","19.8","21.7","21.6","22.7","24.3","25.4","26.4"
"10","1017.0","1019.6","1018.8","2016/11/10 08:36:00","1015.4","2016/11/10 03:09:00","19.6","21.1","2016/11/10 11:56:00","18.6","2016/11/10 16:01:00","17.2","87","76","2016/11/10 00:01:00","4.9","40","13.0","30","2016/11/10 16:02:00","11.6","7.5","1.5","2016/11/10 07:21:00","3.5","2016/11/10 06:40:00","0.0","0.0","2.18","7.3","-0.7","2","2016/11/10 11:00:00","9.7","20.4","21.6","21.4","22.3","23.6","24.8","26.2"
