"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.5","1011.9","1011.5","2017/10/01 09:20:00","1007.4","2017/10/01 17:57:00","29.4","32.8","2017/10/01 09:51:00","26.4","2017/10/01 05:35:00","24.3","75","65","2017/10/01 07:44:00","2.4","330","7.4","30","2017/10/01 15:53:00","0.0","0.0","0.0","--","0.0","--","10.6","89.7","20.94","11.3","6.2","9","2017/10/01 12:00:00","1.2","31.4","31.7","31.4","31.6","31.8","31.2","30.9"
"02","1008.8","1011.2","1010.3","2017/10/02 08:32:00","1006.8","2017/10/02 15:51:00","29.4","33.5","2017/10/02 13:32:00","26.5","2017/10/02 02:59:00","25.5","80","65","2017/10/02 15:18:00","1.9","290","6.3","300","2017/10/02 11:25:00","0.0","0.0","0.0","--","0.0","--","8.8","74.6","20.43","9.7","5.9","10","2017/10/02 12:00:00","4.0","31.6","31.9","31.6","31.9","32.1","31.3","30.9"
"03","1010.4","1012.9","1012.7","2017/10/03 21:40:00","1008.8","2017/10/03 14:43:00","29.0","32.6","2017/10/03 11:35:00","26.7","2017/10/03 02:50:00","25.1","80","70","2017/10/03 10:00:00","6.3","50","18.9","60","2017/10/03 19:37:00","0.0","0.0","0.0","--","0.0","--","7.0","59.5","18.66","11.0","-4.7","9","2017/10/03 12:00:00","4.0","30.8","31.6","31.4","31.9","32.3","31.3","31.0"
"04","1012.6","1015.1","1014.4","2017/10/04 08:34:00","1011.3","2017/10/04 03:40:00","26.4","28.5","2017/10/04 13:23:00","24.2","2017/10/04 07:01:00","22.7","81","72","2017/10/04 03:54:00","8.3","60","18.6","50","2017/10/04 18:16:00","2.7","2.3","0.5","2017/10/04 09:09:00","1.5","2017/10/04 08:55:00","0.7","6.0","6.32","14.7","-3.8","5","2017/10/04 14:00:00","8.2","28.1","29.2","29.3","30.6","31.5","31.4","31.0"
"05","1010.6","1013.0","1012.8","2017/10/05 00:01:00","1008.7","2017/10/05 15:03:00","28.0","31.1","2017/10/05 12:53:00","25.5","2017/10/05 03:27:00","23.1","75","67","2017/10/05 13:08:00","8.1","60","18.6","60","2017/10/05 10:38:00","0.0","0.0","0.0","--","0.0","--","9.9","84.5","20.43","17.3","6.2","9","2017/10/05 12:00:00","1.5","28.5","29.1","28.9","29.8","30.5","30.9","31.0"
"06","1010.0","1012.4","1011.5","2017/10/06 07:24:00","1008.0","2017/10/06 14:59:00","28.4","31.4","2017/10/06 11:31:00","26.7","2017/10/06 02:53:00","24.5","80","71","2017/10/06 10:12:00","9.1","50","20.8","40","2017/10/06 15:55:00","0.0","0.0","0.0","--","0.0","--","9.6","82.1","20.93","18.7","7.1","9","2017/10/06 12:00:00","2.0","29.3","30.0","29.7","30.3","30.7","30.5","31.0"
"07","1010.9","1013.4","1012.2","2017/10/07 08:02:00","1008.9","2017/10/07 17:10:00","27.8","30.5","2017/10/07 13:24:00","26.2","2017/10/07 05:25:00","23.4","77","68","2017/10/07 13:21:00","9.8","50","22.4","50","2017/10/07 17:09:00","0.0","0.0","0.0","--","0.0","--","7.2","61.7","16.97","18.0","6.2","7","2017/10/07 13:00:00","3.5","28.6","29.7","29.6","30.3","30.7","30.5","30.7"
"08","1009.7","1012.2","1011.4","2017/10/08 08:58:00","1007.6","2017/10/08 14:05:00","28.4","31.7","2017/10/08 11:42:00","26.4","2017/10/08 02:45:00","24.2","78","68","2017/10/08 09:26:00","10.3","50","22.8","50","2017/10/08 14:09:00","0.0","0.0","0.0","--","0.0","--","7.6","65.2","18.92","18.7","7.7","9","2017/10/08 13:00:00","4.8","29.1","29.8","29.7","30.3","30.7","30.4","30.7"
"09","1007.6","1010.1","1009.4","2017/10/09 00:01:00","1005.5","2017/10/09 13:34:00","30.7","35.1","2017/10/09 13:05:00","28.1","2017/10/09 00:56:00","23.4","66","54","2017/10/09 12:22:00","9.0","70","21.7","70","2017/10/09 11:51:00","0.0","0.0","0.0","--","0.0","--","10.9","93.8","21.02","23.3","9.5","9","2017/10/09 12:00:00","3.0","29.9","30.4","30.3","30.5","30.7","30.4","30.6"
