"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.0","1013.5","1012.6","2017/05/01 08:03:00","1009.7","2017/05/01 15:59:00","23.7","28.4","2017/05/01 12:24:00","18.1","2017/05/01 04:48:00","17.5","69","51","2017/05/01 08:34:00","1.6","160","6.3","10","2017/05/01 13:41:00","0.0","0.0","0.0","--","0.0","--","8.4","64.4","23.05","14.0","5.5","8","2017/05/01 13:00:00","4.5","22.7","23.0","22.9","22.3","22.5","22.0","22.1"
"02","1010.3","1012.8","1011.7","2017/05/02 08:25:00","1009.5","2017/05/02 02:01:00","24.6","29.0","2017/05/02 11:17:00","22.2","2017/05/02 03:12:00","20.2","77","61","2017/05/02 09:07:00","1.6","310","7.0","340","2017/05/02 15:48:00","0.0","0.0","0.0","--","0.0","--","1.2","9.2","14.06","15.8","2.8","7","2017/05/02 12:00:00","9.5","23.8","23.9","23.7","23.4","23.4","22.4","22.1"
"03","1010.3","1012.8","1012.1","2017/05/03 08:33:00","1008.9","2017/05/03 15:18:00","25.0","27.8","2017/05/03 12:52:00","23.3","2017/05/03 23:23:00","22.3","85","76","2017/05/03 13:56:00","3.5","30","10.9","40","2017/05/03 16:37:00","0.0","0.0","0.0","--","0.0","--","6.4","48.9","20.72","11.0","4.7","9","2017/05/03 13:00:00","7.0","24.6","24.8","24.4","24.1","24.1","22.8","22.4"
"04","1009.6","1012.1","1011.0","2017/05/04 22:54:00","1008.6","2017/05/04 02:01:00","25.5","28.6","2017/05/04 12:58:00","22.5","2017/05/04 02:45:00","22.8","85","73","2017/05/04 14:44:00","1.9","230","7.3","230","2017/05/04 16:21:00","0.0","0.0","0.0","--","0.0","--","2.6","19.8","17.70","8.0","3.8","8","2017/05/04 13:00:00","7.8","25.5","25.4","25.0","24.7","24.5","23.3","22.7"
"05","1011.5","1014.0","1013.8","2017/05/05 22:34:00","1009.4","2017/05/05 02:10:00","26.4","29.5","2017/05/05 13:11:00","23.9","2017/05/05 02:38:00","23.5","84","73","2017/05/05 11:57:00","2.0","30","6.9","360","2017/05/05 13:53:00","0.0","0.0","0.0","--","0.0","--","7.3","55.6","21.91","9.0","5.2","8","2017/05/05 13:00:00","6.0","26.1","26.2","25.6","25.5","25.1","23.7","22.8"
"06","1013.5","1016.0","1014.6","2017/05/06 09:34:00","1012.1","2017/05/06 02:01:00","24.4","27.9","2017/05/06 10:17:00","22.7","2017/05/06 20:22:00","21.5","84","77","2017/05/06 14:56:00","5.0","40","12.5","50","2017/05/06 16:07:00","0.0","0.0","0.0","--","0.0","--","1.6","12.2","13.61","10.0","4.7","8","2017/05/06 11:00:00","8.8","24.3","25.4","25.1","25.6","25.5","24.2","23.1"
"07","1012.6","1015.1","1014.2","2017/05/07 00:01:00","1010.2","2017/05/07 16:07:00","24.0","27.1","2017/05/07 12:20:00","21.5","2017/05/07 23:40:00","19.7","77","71","2017/05/07 13:02:00","5.8","40","14.7","30","2017/05/07 14:21:00","0.0","0.0","0.0","--","0.0","--","8.4","63.8","24.44","15.0","5.7","9","2017/05/07 13:00:00","5.3","23.7","24.8","25.0","25.0","25.1","24.3","23.3"
"08","1009.1","1011.6","1011.8","2017/05/08 00:01:00","1006.8","2017/05/08 16:53:00","25.3","28.9","2017/05/08 12:33:00","20.9","2017/05/08 04:55:00","21.6","80","73","2017/05/08 11:28:00","2.1","210","7.9","270","2017/05/08 11:32:00","0.0","0.0","0.0","--","0.0","--","9.7","73.6","24.93","10.0","-5.3","8","2017/05/08 12:00:00","3.0","25.8","25.8","25.6","25.4","25.5","24.3","23.4"
"09","1009.2","1011.7","1011.6","2017/05/09 21:47:00","1006.1","2017/05/09 04:34:00","25.6","28.5","2017/05/09 15:54:00","22.6","2017/05/09 06:34:00","22.6","84","70","2017/05/09 16:57:00","3.0","270","19.1","260","2017/05/09 05:27:00","9.6","1.1","4.5","2017/05/09 06:22:00","8.8","2017/05/09 05:52:00","5.3","40.2","19.00","12.7","3.9","7","2017/05/09 14:00:00","6.0","25.8","25.9","25.6","25.8","25.9","24.5","23.6"
