"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.0","1009.5","1009.8","2013/09/01 22:22:00","1003.4","2013/09/01 02:50:00","23.7","25.4","2013/09/01 04:01:00","22.3","2013/09/01 23:59:59","21.3","86","74","2013/09/01 06:22:00","4.2","20","17.0","20","2013/09/01 04:14:00","7.0","11.9","1.0","2013/09/01 11:50:00","3.5","2013/09/01 11:45:00","0.0","0.0","1.52","10.0","-1.2","1","2013/09/01 14:00:00","8.8","24.1","25.6","26.3","26.8","27.5","28.5","29.5"
"02","1008.2","1010.7","1009.8","2013/09/02 08:51:00","1006.5","2013/09/02 14:35:00","24.9","28.7","2013/09/02 12:55:00","21.2","2013/09/02 02:23:00","19.6","73","54","2013/09/02 09:36:00","2.6","40","7.5","40","2013/09/02 11:16:00","0.0","0.0","0.0","--","0.0","--","3.7","29.5","16.56","12.5","4.1","6","2013/09/02 13:00:00","7.3","25.6","26.5","26.5","26.8","27.2","27.9","29.3"
"03","1007.6","1010.1","1008.7","2013/09/03 20:58:00","1006.6","2013/09/03 04:49:00","25.2","28.8","2013/09/03 13:01:00","21.4","2013/09/03 02:15:00","19.7","72","59","2013/09/03 10:36:00","3.7","50","11.2","40","2013/09/03 15:42:00","0.0","0.0","0.0","--","0.0","--","9.0","71.9","20.43","10.0","6.9","6","2013/09/03 13:00:00","3.5","26.2","26.8","26.9","27.2","27.4","28.0","29.0"
"04","1008.4","1010.9","1009.7","2013/09/04 21:52:00","1007.1","2013/09/04 14:29:00","25.6","28.5","2013/09/04 11:16:00","22.7","2013/09/04 05:27:00","19.4","69","59","2013/09/04 09:42:00","5.8","60","15.9","60","2013/09/04 12:36:00","0.0","0.0","0.0","--","0.0","--","7.6","60.8","20.00","10.0","6.4","8","2013/09/04 12:00:00","4.2","24.4","26.0","26.4","26.8","27.3","28.0","28.9"
"05","1008.8","1011.3","1010.5","2013/09/05 22:54:00","1007.6","2013/09/05 14:55:00","26.4","29.7","2013/09/05 12:54:00","22.6","2013/09/05 01:30:00","21.6","75","64","2013/09/05 09:08:00","4.9","60","13.1","40","2013/09/05 15:28:00","0.0","0.0","0.0","--","0.0","--","10.9","87.4","22.57","10.0","6.3","7","2013/09/05 12:00:00","2.2","26.9","26.8","26.8","26.9","27.3","28.0","28.6"
"06","1009.8","1012.3","1011.0","2013/09/06 06:58:00","1008.4","2013/09/06 15:59:00","27.5","30.4","2013/09/06 11:02:00","24.1","2013/09/06 05:40:00","23.6","79","67","2013/09/06 09:39:00","3.5","50","12.8","40","2013/09/06 14:22:00","0.0","0.0","0.0","--","0.0","--","10.8","86.8","22.86","10.8","6.2","7","2013/09/06 12:00:00","2.8","27.9","28.1","27.9","27.9","27.8","28.0","28.5"
"07","1010.2","1012.7","1011.7","2013/09/07 20:40:00","1008.6","2013/09/07 14:43:00","27.5","31.2","2013/09/07 12:23:00","24.1","2013/09/07 05:42:00","22.7","75","63","2013/09/07 19:08:00","5.0","60","16.3","50","2013/09/07 16:45:00","0.0","0.0","0.0","--","0.0","--","11.2","90.2","22.37","12.5","8.5","8","2013/09/07 13:00:00","1.8","28.2","28.2","28.3","28.4","27.9","28.4","28.5"
"08","1010.3","1012.8","1011.7","2013/09/08 07:52:00","1008.6","2013/09/08 15:02:00","27.9","30.2","2013/09/08 12:42:00","25.4","2013/09/08 05:20:00","22.6","73","61","2013/09/08 08:32:00","6.8","50","17.4","40","2013/09/08 14:12:00","0.0","0.0","0.0","--","0.0","--","11.8","95.2","23.59","12.7","7.9","8","2013/09/08 12:00:00","1.0","27.8","27.9","28.1","28.2","28.3","28.5","28.5"
"09","1008.8","1011.3","1011.2","2013/09/09 07:51:00","1006.3","2013/09/09 14:58:00","28.2","31.5","2013/09/09 11:34:00","24.4","2013/09/09 04:53:00","22.9","73","66","2013/09/09 08:24:00","5.0","40","13.8","40","2013/09/09 14:36:00","0.0","0.0","0.0","--","0.0","--","11.5","93.0","23.23","12.3","6.9","8","2013/09/09 12:00:00","0.8","28.6","28.3","28.4","28.4","28.2","28.5","28.5"
