"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.7","1010.2","1009.9","2015/09/01 20:55:00","1006.3","2015/09/01 03:04:00","26.2","30.1","2015/09/01 12:03:00","23.3","2015/09/01 04:33:00","24.0","89","63","2015/09/01 09:11:00","1.6","220","7.8","200","2015/09/01 01:12:00","26.5","5.9","7.0","2015/09/01 19:20:00","10.5","2015/09/01 17:20:00","1.7","13.5","13.52","12.0","-3.8","6","2015/09/01 12:00:00","8.7","27.0","27.2","27.3","27.5","27.4","27.9","28.7"
"02","1009.9","1012.4","1011.6","2015/09/02 21:19:00","1008.2","2015/09/02 10:41:00","27.5","30.9","2015/09/02 12:27:00","24.1","2015/09/02 00:01:00","25.2","88","73","2015/09/02 11:00:00","1.6","130","9.0","290","2015/09/02 10:55:00","0.0","0.0","0.0","--","0.0","--","5.1","40.7","21.87","10.8","4.9","8","2015/09/02 13:00:00","6.8","28.1","28.3","28.1","28.0","27.7","27.9","28.6"
"03","1011.3","1013.8","1012.7","2015/09/03 23:37:00","1010.0","2015/09/03 15:20:00","28.0","31.1","2015/09/03 13:19:00","25.7","2015/09/03 05:23:00","25.7","88","74","2015/09/03 09:59:00","1.6","270","5.5","270","2015/09/03 10:45:00","0.0","0.0","0.0","--","0.0","--","1.9","15.2","18.20","9.3","2.5","7","2015/09/03 13:00:00","7.7","28.7","28.9","28.8","28.7","28.5","28.3","28.4"
"04","1011.0","1013.4","1012.6","2015/09/04 00:01:00","1007.0","2015/09/04 13:51:00","28.3","32.1","2015/09/04 11:48:00","26.1","2015/09/04 04:34:00","25.8","87","66","2015/09/04 11:13:00","1.5","320","6.2","320","2015/09/04 12:32:00","0.0","0.0","0.0","--","0.0","--","4.5","36.0","20.02","8.2","5.4","8","2015/09/04 12:00:00","7.5","28.9","29.2","29.2","29.1","28.7","28.3","28.3"
"05","1007.3","1009.8","1010.3","2015/09/05 00:01:00","1005.2","2015/09/05 15:41:00","28.1","30.6","2015/09/05 10:40:00","25.7","2015/09/05 02:44:00","24.7","82","73","2015/09/05 15:34:00","5.6","220","14.7","250","2015/09/05 12:40:00","0.0","0.0","0.0","--","0.0","--","7.5","60.1","22.65","10.0","6.8","9","2015/09/05 13:00:00","4.3","28.6","29.1","29.0","29.0","28.8","28.7","28.5"
"06","1004.0","1006.5","1005.6","2015/09/06 00:01:00","1001.4","2015/09/06 16:39:00","28.7","30.9","2015/09/06 14:31:00","25.8","2015/09/06 23:15:00","25.2","82","72","2015/09/06 15:15:00","7.1","230","17.2","240","2015/09/06 11:42:00","0.0","0.0","0.0","--","0.0","--","10.8","86.8","25.35","11.5","-8.2","8","2015/09/06 12:00:00","2.8","28.5","29.0","28.9","29.0","28.8","28.5","28.4"
"07","1005.4","1007.9","1007.4","2015/09/07 21:41:00","1003.2","2015/09/07 03:36:00","25.9","27.8","2015/09/07 16:37:00","24.5","2015/09/07 22:22:00","23.2","85","76","2015/09/07 15:42:00","3.5","50","10.1","60","2015/09/07 10:12:00","11.5","5.4","7.0","2015/09/07 05:23:00","8.0","2015/09/07 04:45:00","0.2","1.6","7.49","6.3","2.6","3","2015/09/07 11:00:00","9.3","26.9","27.7","28.0","28.5","28.5","28.7","28.5"
"08","1007.2","1009.7","1008.9","2015/09/08 21:54:00","1005.8","2015/09/08 03:15:00","26.5","29.3","2015/09/08 12:06:00","23.8","2015/09/08 03:05:00","22.1","77","60","2015/09/08 10:14:00","6.3","50","15.4","20","2015/09/08 14:51:00","0.0","0.0","0.0","--","0.0","--","9.3","75.0","25.41","13.0","8.0","8","2015/09/08 13:00:00","4.2","26.8","27.1","27.5","27.9","28.0","28.5","28.5"
"09","1009.8","1012.3","1011.7","2015/09/09 22:01:00","1008.2","2015/09/09 01:12:00","26.2","29.6","2015/09/09 10:55:00","23.1","2015/09/09 22:49:00","20.3","71","57","2015/09/09 12:00:00","5.5","50","14.5","30","2015/09/09 11:40:00","0.0","0.0","0.0","--","0.0","--","11.2","90.5","26.50","14.0","8.1","8","2015/09/09 12:00:00","2.5","27.6","27.5","27.4","27.9","28.0","27.9","28.5"
