"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1017.6","1020.1","1018.7","2015/11/01 08:26:00","1016.6","2015/11/01 04:12:00","22.4","24.3","2015/11/01 09:53:00","21.4","2015/11/01 22:30:00","18.4","78","70","2015/11/01 09:02:00","7.0","40","15.3","40","2015/11/01 13:13:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","6.72","9.0","-1.5","3","2015/11/01 12:00:00","9.7","24.3","23.5","23.9","24.2","24.7","25.7","26.3"
"02","1018.0","1020.5","1019.9","2015/11/02 09:03:00","1016.5","2015/11/02 01:54:00","20.8","22.5","2015/11/02 02:39:00","19.5","2015/11/02 09:32:00","17.2","80","73","2015/11/02 13:22:00","8.8","40","17.5","30","2015/11/02 06:45:00","1.5","1.7","0.5","2015/11/02 08:01:00","1.0","2015/11/02 07:12:00","0.0","0.0","4.10","7.2","2.0","1","2015/11/02 13:00:00","9.8","21.3","22.3","22.9","23.4","24.2","25.3","26.2"
"03","1017.3","1019.8","1019.0","2015/11/03 09:18:00","1015.5","2015/11/03 23:51:00","22.8","25.2","2015/11/03 12:35:00","20.9","2015/11/03 05:27:00","18.8","78","71","2015/11/03 11:08:00","9.3","40","19.4","30","2015/11/03 14:51:00","0.0","0.0","0.0","--","0.0","--","0.6","5.4","8.48","8.3","3.4","4","2015/11/03 13:00:00","9.3","22.3","22.6","22.8","23.1","23.4","24.8","26.1"
"04","1014.2","1016.7","1015.6","2015/11/04 00:01:00","1012.6","2015/11/04 14:20:00","25.8","30.6","2015/11/04 10:50:00","22.5","2015/11/04 23:57:00","21.2","76","63","2015/11/04 10:43:00","4.4","50","14.4","40","2015/11/04 03:48:00","0.0","0.0","0.0","--","0.0","--","4.5","40.7","14.52","11.2","2.6","5","2015/11/04 12:00:00","5.8","25.7","24.7","24.6","24.2","24.3","24.7","25.9"
"05","1013.2","1015.7","1015.6","2015/11/05 09:01:00","1011.7","2015/11/05 15:16:00","24.9","28.8","2015/11/05 12:23:00","21.0","2015/11/05 06:16:00","22.0","84","69","2015/11/05 14:33:00","2.4","40","8.5","50","2015/11/05 18:00:00","0.0","0.0","0.0","--","0.0","--","9.3","84.3","15.80","9.0","2.5","4","2015/11/05 12:00:00","3.7","25.8","25.2","25.1","25.0","24.8","25.1","25.7"
"06","1012.7","1015.2","1014.5","2015/11/06 09:25:00","1011.2","2015/11/06 14:12:00","25.6","29.1","2015/11/06 11:40:00","22.6","2015/11/06 00:32:00","22.6","84","74","2015/11/06 10:06:00","2.0","270","7.3","280","2015/11/06 12:29:00","0.0","0.0","0.0","--","0.0","--","8.0","72.7","15.75","9.0","5.1","5","2015/11/06 12:00:00","5.0","26.9","25.8","25.7","25.6","25.4","25.2","25.7"
"07","1014.1","1016.6","1015.8","2015/11/07 08:43:00","1012.6","2015/11/07 02:06:00","24.8","27.7","2015/11/07 11:05:00","22.8","2015/11/07 22:51:00","22.7","88","79","2015/11/07 12:57:00","1.9","210","6.4","290","2015/11/07 11:28:00","0.0","0.0","0.0","--","0.0","--","5.1","46.4","13.19","6.0","2.5","5","2015/11/07 12:00:00","4.2","26.1","25.8","25.7","25.7","25.5","25.5","25.8"
"08","1014.1","1016.6","1015.7","2015/11/08 08:36:00","1012.5","2015/11/08 15:07:00","24.9","28.8","2015/11/08 12:45:00","22.4","2015/11/08 04:30:00","23.1","90","77","2015/11/08 13:08:00","1.6","190","5.5","340","2015/11/08 15:27:00","0.0","0.0","0.0","--","0.0","--","6.0","54.7","14.14","6.2","2.7","5","2015/11/08 13:00:00","4.3","26.9","26.1","26.0","25.9","25.6","25.6","25.8"
"09","1015.0","1017.5","1017.4","2015/11/09 21:46:00","1013.5","2015/11/09 03:51:00","23.6","28.0","2015/11/09 09:31:00","21.3","2015/11/09 23:07:00","20.9","85","74","2015/11/09 09:47:00","5.5","40","17.0","40","2015/11/09 22:50:00","0.0","0.0","0.0","--","0.0","--","0.8","7.3","8.36","7.0","4.5","3","2015/11/09 11:00:00","8.7","25.2","25.3","25.5","25.7","25.7","25.7","26.0"
