"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1010.6","1013.1","1012.7","2016/05/01 09:42:00","1008.7","2016/05/01 00:45:00","22.6","25.1","2016/05/01 16:25:00","20.3","2016/05/01 05:58:00","20.4","87","78","2016/05/01 16:17:00","1.4","40","6.6","350","2016/05/01 03:21:00","4.2","6.4","0.3","2016/05/01 01:20:00","1.5","2016/05/01 04:31:00","0.2","1.5","9.62","10.8","-1.7","4","2016/05/01 12:00:00","8.5","23.0","23.2","22.9","23.0","22.8","23.0","22.1"
"02","1007.9","1010.4","1010.3","2016/05/02 07:36:00","1005.2","2016/05/02 17:17:00","26.1","29.9","2016/05/02 12:01:00","20.7","2016/05/02 03:10:00","22.7","82","63","2016/05/02 11:47:00","3.8","220","14.5","230","2016/05/02 23:48:00","0.0","0.0","0.0","--","0.0","--","9.4","72.0","22.57","12.7","-5.4","7","2016/05/02 12:00:00","2.3","25.3","25.1","24.8","24.0","24.1","23.0","22.1"
"03","1007.8","1010.3","1010.4","2016/05/03 22:23:00","1004.9","2016/05/03 01:11:00","27.0","28.9","2016/05/03 10:00:00","25.1","2016/05/03 23:53:00","24.2","85","76","2016/05/03 08:16:00","6.6","250","19.5","220","2016/05/03 04:04:00","6.5","1.2","5.0","2016/05/03 06:02:00","6.5","2016/05/03 05:30:00","7.5","57.3","23.67","13.5","5.0","9","2016/05/03 12:00:00","4.7","26.6","26.3","26.5","25.3","24.5","23.3","22.6"
"04","1009.9","1012.4","1011.1","2016/05/04 08:52:00","1009.0","2016/05/04 15:44:00","26.4","29.6","2016/05/04 11:48:00","24.2","2016/05/04 03:32:00","23.3","83","78","2016/05/04 12:46:00","1.6","270","6.0","280","2016/05/04 13:14:00","0.0","0.0","0.0","--","0.0","--","2.8","21.4","16.60","7.7","3.9","7","2016/05/04 12:00:00","7.3","26.9","26.5","26.6","25.8","24.9","23.8","22.9"
"05","1009.0","1011.5","1010.7","2016/05/05 09:33:00","1007.4","2016/05/05 16:09:00","26.8","29.5","2016/05/05 10:36:00","24.9","2016/05/05 00:50:00","24.5","87","82","2016/05/05 10:35:00","2.3","220","9.3","240","2016/05/05 09:49:00","0.0","0.0","0.0","--","0.0","--","3.6","27.4","18.39","9.3","5.1","7","2016/05/05 12:00:00","7.7","27.2","27.0","27.1","26.2","25.4","24.0","23.0"
"06","1007.6","1010.1","1009.2","2016/05/06 23:44:00","1005.1","2016/05/06 16:19:00","27.5","30.6","2016/05/06 12:46:00","23.9","2016/05/06 03:34:00","24.7","85","76","2016/05/06 14:03:00","4.6","230","16.2","250","2016/05/06 13:53:00","0.0","0.0","0.0","--","0.0","--","10.3","78.4","25.92","13.3","6.4","8","2016/05/06 12:00:00","4.2","27.5","27.5","27.4","26.6","25.8","24.4","23.1"
"07","1009.3","1011.8","1010.9","2016/05/07 21:46:00","1007.8","2016/05/07 05:15:00","27.8","30.4","2016/05/07 12:32:00","25.3","2016/05/07 23:43:00","24.7","84","70","2016/05/07 16:28:00","2.4","240","7.5","250","2016/05/07 02:58:00","0.0","0.0","0.0","--","0.0","--","6.4","48.6","21.71","16.5","4.1","7","2016/05/07 12:00:00","7.5","27.8","27.9","27.8","27.2","26.2","24.7","23.5"
"08","1010.3","1012.8","1011.7","2016/05/08 09:34:00","1009.0","2016/05/08 03:34:00","27.0","29.7","2016/05/08 14:24:00","24.3","2016/05/08 01:48:00","24.4","86","79","2016/05/08 14:20:00","1.7","10","5.9","30","2016/05/08 10:32:00","0.0","0.0","0.0","--","0.0","--","5.5","41.7","20.25","11.3","4.5","7","2016/05/08 12:00:00","4.8","28.0","27.8","27.6","27.0","26.4","25.0","23.6"
"09","1008.2","1010.6","1010.4","2016/05/09 07:55:00","1005.6","2016/05/09 23:48:00","28.1","31.1","2016/05/09 12:25:00","25.3","2016/05/09 05:20:00","25.1","84","76","2016/05/09 11:07:00","2.9","240","8.5","210","2016/05/09 21:45:00","0.0","0.0","0.0","--","0.0","--","6.4","48.5","21.88","16.0","6.1","8","2016/05/09 12:00:00","7.2","28.7","28.5","28.9","27.6","26.6","25.3","22.9"
"10","1004.8","1007.3","1006.8","2016/05/10 23:59:59","1002.7","2016/05/10 16:02:00","27.1","29.5","2016/05/10 08:05:00","22.7","2016/05/10 19:40:00","24.0","83","75","2016/05/10 06:03:00","7.4","240","19.7","250","2016/05/10 18:51:00","18.0","6.4","3.5","2016/05/10 23:48:00","6.2","2016/05/10 22:59:00","0.3","2.3","7.05","17.0","-4.2","2","2016/05/10 12:00:00","8.5","26.0","26.9","27.4","27.1","26.8","25.6","24.1"
"11","1007.8","1010.3","1009.4","2016/05/11 09:12:00","1006.2","2016/05/11 02:13:00","21.5","23.8","2016/05/11 13:18:00","20.0","2016/05/11 23:47:00","17.5","78","68","2016/05/11 13:18:00","5.9","50","16.3","50","2016/05/11 00:53:00","17.3","2.1","3.5","2016/05/11 00:01:00","11.5","2016/05/11 00:01:00","0.3","2.3","9.72","11.7","2.5","4","2016/05/11 12:00:00","7.7","23.7","24.0","24.6","24.7","25.5","25.6","24.5"
"12","1007.7","1010.2","1009.0","2016/05/12 10:05:00","1006.3","2016/05/12 03:24:00","25.0","29.2","2016/05/12 13:39:00","20.1","2016/05/12 00:01:00","21.9","83","71","2016/05/12 10:49:00","2.2","30","7.4","20","2016/05/12 15:57:00","0.0","0.0","0.0","--","0.0","--","5.0","37.7","20.52","10.0","4.1","7","2016/05/12 12:00:00","5.7","26.1","25.9","26.1","25.2","24.9","25.0","24.5"
"13","1010.3","1012.8","1013.1","2016/05/13 22:05:00","1008.4","2016/05/13 03:27:00","27.2","30.1","2016/05/13 10:58:00","24.7","2016/05/13 05:32:00","24.1","84","75","2016/05/13 08:32:00","5.3","40","17.5","30","2016/05/13 15:37:00","0.0","0.0","0.0","--","0.0","--","11.4","85.9","27.08","9.8","6.2","8","2016/05/13 12:00:00","2.3","27.5","27.4","27.4","26.7","25.8","25.0","24.5"
