"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.0","1003.4","1003.5","2017/08/01 22:38:00","998.6","2017/08/01 02:11:00","29.7","32.3","2017/08/01 07:49:00","26.6","2017/08/01 05:26:00","24.7","75","66","2017/08/01 07:44:00","3.1","210","12.3","220","2017/08/01 12:26:00","0.0","0.0","0.0","--","0.0","--","1.3","9.8","11.89","15.3","3.3","5","2017/08/01 12:00:00","8.8","28.9","29.3","29.1","29.6","30.4","30.4","30.4"
"02","1001.3","1003.7","1003.0","2017/08/02 00:01:00","999.4","2017/08/02 16:45:00","29.0","32.7","2017/08/02 16:05:00","26.7","2017/08/02 19:16:00","25.6","82","72","2017/08/02 12:28:00","3.3","230","12.1","250","2017/08/02 13:51:00","9.6","1.3","3.5","2017/08/02 17:55:00","8.5","2017/08/02 17:46:00","7.7","58.2","25.39","12.7","-4.5","13","2017/08/02 12:00:00","6.8","30.2","30.5","30.1","30.2","30.5","30.3","30.4"
"03","1000.2","1002.6","1001.5","2017/08/03 22:32:00","997.9","2017/08/03 16:33:00","29.7","32.9","2017/08/03 12:31:00","26.5","2017/08/03 05:07:00","26.0","81","69","2017/08/03 12:56:00","2.7","250","8.8","250","2017/08/03 11:43:00","0.0","0.0","0.0","--","0.0","--","11.6","87.8","27.98","11.3","6.9","12","2017/08/03 13:00:00","3.2","30.9","31.1","30.8","30.8","31.0","30.3","30.5"
"04","1001.1","1003.5","1002.2","2017/08/04 22:28:00","1000.0","2017/08/04 03:10:00","29.8","32.4","2017/08/04 13:36:00","27.3","2017/08/04 05:14:00","26.0","80","72","2017/08/04 11:57:00","4.2","210","10.3","250","2017/08/04 14:11:00","0.0","0.0","0.0","--","0.0","--","11.0","83.4","27.26","15.0","7.6","12","2017/08/04 13:00:00","1.8","31.1","31.5","31.2","31.2","31.4","30.5","30.4"
"05","1002.0","1004.4","1003.2","2017/08/05 09:21:00","1000.7","2017/08/05 16:28:00","30.3","32.7","2017/08/05 13:18:00","28.6","2017/08/05 04:23:00","26.4","80","72","2017/08/05 12:32:00","7.7","230","15.5","220","2017/08/05 12:35:00","0.0","0.0","0.0","--","0.0","--","11.5","87.3","27.79","13.3","8.0","13","2017/08/05 13:00:00","2.0","30.8","31.3","31.2","31.3","31.4","30.6","30.3"
"06","1002.1","1004.5","1003.7","2017/08/06 08:08:00","1000.4","2017/08/06 16:52:00","30.3","33.0","2017/08/06 12:08:00","28.6","2017/08/06 04:54:00","26.1","78","68","2017/08/06 11:29:00","8.4","220","16.6","220","2017/08/06 11:24:00","0.0","0.0","0.0","--","0.0","--","11.4","86.7","27.76","14.7","8.2","12","2017/08/06 13:00:00","2.8","30.8","31.2","31.0","31.2","31.4","30.7","30.3"
"07","1002.9","1005.3","1004.1","2017/08/07 08:25:00","1000.5","2017/08/07 00:11:00","30.5","33.3","2017/08/07 12:45:00","28.5","2017/08/07 04:06:00","26.4","79","70","2017/08/07 12:01:00","8.1","220","15.1","230","2017/08/07 09:31:00","0.0","0.0","0.0","--","0.0","--","11.3","86.1","27.36","14.3","8.0","12","2017/08/07 13:00:00","3.2","31.0","31.5","31.3","31.3","31.5","30.8","30.2"
"08","1002.8","1005.2","1004.3","2017/08/08 09:38:00","1001.6","2017/08/08 18:09:00","30.7","32.7","2017/08/08 10:31:00","29.2","2017/08/08 01:22:00","25.8","75","65","2017/08/08 23:15:00","9.3","220","18.9","220","2017/08/08 12:53:00","0.0","0.0","0.0","--","0.0","--","11.9","90.8","27.13","16.0","8.4","13","2017/08/08 13:00:00","3.5","31.0","31.5","31.4","31.4","31.6","30.9","30.3"
"09","1002.0","1004.4","1003.3","2017/08/09 10:05:00","1000.3","2017/08/09 16:26:00","30.6","32.9","2017/08/09 12:26:00","28.8","2017/08/09 05:13:00","25.1","73","66","2017/08/09 11:07:00","10.7","220","21.3","230","2017/08/09 08:32:00","0.0","0.0","0.0","--","0.0","--","10.9","83.3","27.34","16.0","10.4","13","2017/08/09 12:00:00","3.7","30.8","31.4","31.3","31.4","31.6","30.9","30.2"
