"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1017.2","1019.8","1019.2","2017/12/01 09:13:00","1015.4","2017/12/01 14:06:00","18.6","19.2","2017/12/01 11:46:00","18.0","2017/12/01 02:15:00","15.8","83","78","2017/12/01 12:54:00","11.5","60","21.7","60","2017/12/01 21:03:00","1.2","1.8","0.5","2017/12/01 09:20:00","1.0","2017/12/01 09:07:00","0.0","0.0","4.49","12.5","-4.0","3","2017/12/01 11:00:00","10.0","18.9","20.2","20.1","20.8","21.8","22.7","23.6"
"02","1016.1","1018.6","1018.5","2017/12/02 09:22:00","1014.1","2017/12/02 15:31:00","19.4","20.7","2017/12/02 14:14:00","18.2","2017/12/02 06:57:00","16.7","85","78","2017/12/02 12:55:00","10.2","60","20.1","60","2017/12/02 04:48:00","0.0","0.0","0.0","--","0.0","--","0.1","0.9","4.38","12.3","-0.2","3","2017/12/02 13:00:00","9.0","19.3","20.2","19.9","20.6","21.6","22.5","23.6"
"03","1014.8","1017.3","1016.8","2017/12/03 09:15:00","1012.4","2017/12/03 15:16:00","19.9","21.6","2017/12/03 14:57:00","18.8","2017/12/03 07:55:00","16.9","83","72","2017/12/03 23:47:00","8.9","50","18.8","70","2017/12/03 01:59:00","T","0.8","T","2017/12/03 08:51:00","T","2017/12/03 08:51:00","2.2","20.7","6.38","13.7","-2.1","3","2017/12/03 14:00:00","7.5","19.6","20.4","20.2","20.8","21.5","22.2","23.6"
"04","1016.5","1019.1","1018.1","2017/12/04 09:34:00","1015.2","2017/12/04 15:27:00","18.9","20.5","2017/12/04 10:16:00","17.9","2017/12/04 20:08:00","13.3","71","59","2017/12/04 23:33:00","8.8","50","20.1","50","2017/12/04 19:20:00","0.0","0.0","0.0","--","0.0","--","0.4","3.8","4.76","11.7","3.8","3","2017/12/04 11:00:00","9.0","18.4","19.5","19.7","20.4","21.4","22.2","23.6"
"05","1018.7","1021.3","1021.8","2017/12/05 08:27:00","1016.4","2017/12/05 23:41:00","16.5","17.9","2017/12/05 00:01:00","15.1","2017/12/05 23:36:00","9.2","62","56","2017/12/05 03:12:00","8.8","50","19.4","50","2017/12/05 01:03:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","1.28","10.0","-2.7","1","2017/12/05 13:00:00","9.7","16.6","17.8","18.2","19.2","20.7","21.9","23.5"
"06","1016.5","1019.1","1017.4","2017/12/06 05:41:00","1015.2","2017/12/06 15:18:00","16.3","18.5","2017/12/06 13:15:00","14.7","2017/12/06 06:15:00","11.2","72","61","2017/12/06 00:34:00","6.4","60","15.1","60","2017/12/06 09:28:00","1.1","0.9","0.4","2017/12/06 23:33:00","0.7","2017/12/06 23:06:00","0.3","2.8","6.02","14.3","-1.7","3","2017/12/06 13:00:00","8.2","16.6","17.7","17.5","18.3","19.7","21.6","23.4"
"07","1015.4","1018.0","1017.7","2017/12/07 23:59:00","1013.4","2017/12/07 14:28:00","16.8","18.8","2017/12/07 10:38:00","15.8","2017/12/07 00:29:00","14.3","85","76","2017/12/07 11:05:00","6.0","50","16.3","40","2017/12/07 23:18:00","3.8","2.3","1.0","2017/12/07 22:26:00","1.2","2017/12/07 22:25:00","0.0","0.0","2.56","9.8","-1.0","2","2017/12/07 12:00:00","9.3","17.2","18.3","18.1","18.7","19.8","21.0","23.1"
"08","1019.6","1022.2","1021.9","2017/12/08 08:47:00","1017.6","2017/12/08 00:22:00","14.7","16.0","2017/12/08 00:01:00","13.7","2017/12/08 23:57:00","8.7","68","59","2017/12/08 19:13:00","9.0","50","19.8","50","2017/12/08 10:17:00","5.1","2.9","1.0","2017/12/08 00:12:00","1.9","2017/12/08 00:01:00","0.0","0.0","3.05","7.5","-0.9","2","2017/12/08 12:00:00","9.7","15.0","16.9","16.9","17.9","19.4","20.8","23.0"
"09","1015.8","1018.4","1018.6","2017/12/09 00:04:00","1013.7","2017/12/09 18:55:00","14.2","16.2","2017/12/09 16:06:00","12.2","2017/12/09 21:09:00","11.2","83","66","2017/12/09 03:17:00","4.8","60","18.0","60","2017/12/09 03:30:00","6.4","5.2","1.0","2017/12/09 11:21:00","3.2","2017/12/09 11:15:00","0.0","0.0","0.63","8.8","-0.4","1","2017/12/09 14:00:00","8.3","15.3","16.2","16.2","17.2","18.6","20.3","22.7"
"10","1015.0","1017.6","1016.6","2017/12/10 22:37:00","1013.7","2017/12/10 14:04:00","16.5","20.2","2017/12/10 12:41:00","11.0","2017/12/10 01:33:00","13.3","82","65","2017/12/10 22:37:00","4.1","50","15.4","40","2017/12/10 21:42:00","0.0","0.0","0.0","--","0.0","--","6.0","56.8","10.23","10.3","3.6","3","2017/12/10 13:00:00","5.5","16.5","17.0","16.8","17.3","18.7","19.9","22.5"
"11","1016.5","1019.1","1017.7","2017/12/11 09:29:00","1015.3","2017/12/11 14:24:00","17.7","19.4","2017/12/11 12:02:00","16.7","2017/12/11 06:40:00","10.4","63","59","2017/12/11 10:38:00","9.6","60","20.5","60","2017/12/11 15:03:00","0.0","0.0","0.0","--","0.0","--","7.9","74.8","13.28","12.2","-3.7","4","2017/12/11 12:00:00","5.7","16.1","17.4","17.2","17.9","18.8","19.8","22.1"
"12","1016.6","1019.2","1018.9","2017/12/12 08:53:00","1014.9","2017/12/12 04:10:00","17.1","17.6","2017/12/12 02:56:00","16.1","2017/12/12 12:15:00","13.5","80","60","2017/12/12 01:46:00","8.0","60","18.7","50","2017/12/12 21:17:00","0.7","1.5","0.4","2017/12/12 11:44:00","0.6","2017/12/12 11:10:00","0.0","0.0","3.68","16.0","-0.3","2","2017/12/12 13:00:00","9.8","16.6","17.5","17.2","17.9","18.8","19.9","22.1"
"13","1015.8","1018.4","1017.6","2017/12/13 20:57:00","1013.7","2017/12/13 03:58:00","17.9","19.9","2017/12/13 12:27:00","16.3","2017/12/13 19:00:00","14.3","79","70","2017/12/13 12:49:00","10.4","60","24.8","60","2017/12/13 18:05:00","0.0","0.0","0.0","--","0.0","--","1.3","12.3","8.43","18.7","2.7","3","2017/12/13 11:00:00","9.0","17.1","18.0","17.8","18.3","19.0","19.9","21.9"
"14","1015.3","1017.9","1016.5","2017/12/14 00:01:00","1014.3","2017/12/14 13:54:00","19.4","22.8","2017/12/14 11:06:00","16.2","2017/12/14 00:47:00","14.5","74","65","2017/12/14 10:36:00","9.0","60","18.9","60","2017/12/14 11:37:00","0.0","0.0","0.0","--","0.0","--","8.5","80.6","13.93","20.0","3.6","5","2017/12/14 12:00:00","4.5","17.7","18.3","18.1","18.5","19.2","20.0","21.8"
"15","1014.6","1017.2","1016.4","2017/12/15 23:48:00","1012.4","2017/12/15 13:36:00","20.8","25.6","2017/12/15 12:18:00","17.5","2017/12/15 21:05:00","16.3","76","61","2017/12/15 12:02:00","4.6","50","15.9","50","2017/12/15 01:33:00","0.0","0.0","0.0","--","0.0","--","9.6","91.0","14.20","18.8","-2.6","5","2017/12/15 12:00:00","2.3","19.3","19.4","19.3","19.4","19.8","20.0","21.7"
"16","1020.4","1023.0","1024.5","2017/12/16 20:49:00","1016.3","2017/12/16 00:01:00","15.7","19.4","2017/12/16 02:55:00","12.7","2017/12/16 16:06:00","13.3","86","69","2017/12/16 23:54:00","9.9","50","21.5","60","2017/12/16 21:25:00","6.5","10.5","1.0","2017/12/16 03:42:00","2.0","2017/12/16 11:44:00","0.0","0.0","1.00","7.3","-0.1","1","2017/12/16 12:00:00","10.0","16.7","17.4","18.0","18.4","19.4","20.4","21.6"
"17","1023.3","1025.9","1025.0","2017/12/17 07:05:00","1021.5","2017/12/17 14:32:00","13.3","15.1","2017/12/17 11:03:00","12.4","2017/12/17 14:38:00","9.3","77","67","2017/12/17 01:38:00","9.7","60","21.4","50","2017/12/17 00:19:00","1.0","4.7","0.5","2017/12/17 14:00:00","0.5","2017/12/17 13:10:00","0.1","0.9","2.01","8.7","-0.2","2","2017/12/17 12:00:00","9.7","14.3","15.8","15.9","17.0","18.2","20.1","21.7"
"18","1021.7","1024.3","1023.5","2017/12/18 08:35:00","1019.3","2017/12/18 13:33:00","14.7","16.5","2017/12/18 11:27:00","13.1","2017/12/18 06:08:00","11.7","82","75","2017/12/18 02:48:00","8.8","60","18.5","60","2017/12/18 11:47:00","4.5","7.2","1.0","2017/12/18 05:07:00","3.0","2017/12/18 04:56:00","0.0","0.0","4.67","10.7","-0.7","3","2017/12/18 12:00:00","9.3","15.2","16.2","16.1","16.8","17.7","19.5","21.6"
"19","1023.5","1026.1","1025.4","2017/12/19 08:35:00","1021.5","2017/12/19 14:39:00","14.1","15.5","2017/12/19 22:49:00","12.0","2017/12/19 07:30:00","11.3","84","74","2017/12/19 23:49:00","10.0","50","22.6","20","2017/12/19 06:05:00","9.0","16.3","1.0","2017/12/19 04:25:00","2.5","2017/12/19 03:35:00","0.0","0.0","1.24","8.3","-1.3","1","2017/12/19 12:00:00","10.0","14.8","15.7","15.8","16.6","17.5","19.1","21.5"
"20","1025.5","1028.1","1026.8","2017/12/20 08:43:00","1023.9","2017/12/20 14:03:00","15.8","18.6","2017/12/20 11:08:00","13.7","2017/12/20 22:16:00","9.0","64","58","2017/12/20 23:08:00","9.9","60","21.3","60","2017/12/20 10:05:00","0.0","0.0","0.0","--","0.0","--","8.3","78.8","14.74","13.3","5.0","5","2017/12/20 12:00:00","4.7","14.8","15.8","15.9","16.5","17.5","18.9","21.1"
"21","1022.8","1025.4","1026.1","2017/12/21 00:01:00","1020.3","2017/12/21 23:39:00","16.1","19.0","2017/12/21 13:45:00","14.1","2017/12/21 05:30:00","7.9","58","49","2017/12/21 13:44:00","10.3","60","20.8","50","2017/12/21 10:02:00","0.0","0.0","0.0","--","0.0","--","9.8","93.0","15.02","14.7","6.5","5","2017/12/21 12:00:00","1.3","14.7","15.8","15.7","16.4","17.4","18.6","21.1"
"22","1017.2","1019.8","1020.3","2017/12/22 00:01:00","1014.1","2017/12/22 16:34:00","18.2","24.1","2017/12/22 14:00:00","14.1","2017/12/22 23:14:00","11.7","66","51","2017/12/22 14:18:00","4.3","60","12.5","50","2017/12/22 12:32:00","0.0","0.0","0.0","--","0.0","--","9.8","93.0","14.97","16.0","3.1","5","2017/12/22 12:00:00","2.8","16.4","16.8","16.5","16.8","17.6","18.5","20.8"
"23","1013.8","1016.3","1015.5","2017/12/23 06:08:00","1011.4","2017/12/23 14:37:00","17.6","22.1","2017/12/23 09:23:00","13.9","2017/12/23 06:30:00","13.8","79","63","2017/12/23 09:50:00","2.3","250","7.6","260","2017/12/23 13:28:00","0.0","0.0","0.0","--","0.0","--","9.3","88.3","13.87","10.3","1.7","5","2017/12/23 12:00:00","2.3","17.3","17.6","17.3","17.6","18.1","18.6","20.6"
"24","1015.6","1018.1","1018.0","2017/12/24 23:14:00","1013.3","2017/12/24 00:01:00","18.5","22.8","2017/12/24 11:55:00","15.0","2017/12/24 00:09:00","14.5","78","62","2017/12/24 23:19:00","4.7","60","19.4","60","2017/12/24 23:46:00","0.0","0.0","0.0","--","0.0","--","5.4","51.2","11.32","10.3","5.5","5","2017/12/24 13:00:00","6.7","17.9","18.3","18.0","18.3","18.8","19.0","20.6"
