"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.8","1012.3","1011.2","2013/10/01 08:44:00","1008.5","2013/10/01 14:09:00","26.0","27.9","2013/10/01 12:09:00","25.0","2013/10/01 23:40:00","22.3","80","75","2013/10/01 11:40:00","7.5","50","15.7","50","2013/10/01 11:44:00","0.0","0.0","0.0","--","0.0","--","1.9","16.1","10.56","10.0","3.8","5","2013/10/01 13:00:00","6.7","25.8","25.9","26.3","26.9","26.8","27.9","28.4"
"02","1010.7","1013.2","1013.1","2013/10/02 21:05:00","1009.2","2013/10/02 02:10:00","25.5","27.9","2013/10/02 09:59:00","22.8","2013/10/02 22:56:00","19.5","70","57","2013/10/02 12:52:00","6.4","50","15.5","30","2013/10/02 11:24:00","0.0","0.0","0.0","--","0.0","--","8.2","69.5","18.48","10.3","-4.9","6","2013/10/02 12:00:00","6.7","25.2","25.7","26.1","26.4","26.7","27.0","28.2"
"03","1011.2","1013.7","1012.6","2013/10/03 20:17:00","1010.3","2013/10/03 03:01:00","23.9","26.3","2013/10/03 12:20:00","21.7","2013/10/03 21:59:00","17.5","67","58","2013/10/03 14:00:00","6.6","50","18.6","40","2013/10/03 07:38:00","1.0","0.1","1.0","2013/10/03 06:34:00","1.0","2013/10/03 06:34:00","1.9","16.1","10.14","8.7","-5.2","6","2013/10/03 13:00:00","7.0","23.1","24.1","24.8","25.5","26.1","27.6","28.2"
"04","1009.6","1012.1","1011.7","2013/10/04 09:10:00","1007.7","2013/10/04 23:43:00","24.3","26.2","2013/10/04 12:41:00","21.4","2013/10/04 04:03:00","18.4","70","58","2013/10/04 01:28:00","7.8","40","17.2","40","2013/10/04 21:59:00","0.9","0.2","0.5","2013/10/04 20:05:00","0.5","2013/10/04 20:05:00","1.3","11.1","7.36","10.0","-4.2","4","2013/10/04 13:00:00","8.8","23.7","23.8","24.2","24.7","25.4","26.9","28.2"
"05","1005.8","1008.3","1007.8","2013/10/05 00:01:00","1003.9","2013/10/05 23:54:00","25.3","27.2","2013/10/05 12:05:00","24.3","2013/10/05 23:33:00","21.3","78","73","2013/10/05 12:01:00","9.0","30","18.1","10","2013/10/05 22:06:00","1.5","3.2","1.0","2013/10/05 23:23:00","1.0","2013/10/05 23:20:00","0.7","6.0","7.71","8.6","-3.0","5","2013/10/05 12:00:00","9.3","24.6","24.5","25.1","25.2","25.4","26.5","27.9"
"06","999.9","1002.4","1003.9","2013/10/06 00:01:00","997.6","2013/10/06 23:43:00","26.2","27.4","2013/10/06 20:30:00","24.1","2013/10/06 00:31:00","22.3","80","68","2013/10/06 20:30:00","7.0","10","18.9","10","2013/10/06 01:16:00","1.0","1.7","0.5","2013/10/06 00:38:00","1.0","2013/10/06 00:16:00","0.0","0.0","2.30","9.6","2.4","2","2013/10/06 12:00:00","9.4","24.0","24.8","25.3","25.3","24.6","26.5","27.6"
"07","1000.3","1002.7","1003.0","2013/10/07 21:27:00","996.8","2013/10/07 02:34:00","27.0","31.5","2013/10/07 11:01:00","23.8","2013/10/07 06:09:00","21.8","74","55","2013/10/07 10:52:00","2.5","170","7.6","200","2013/10/07 00:45:00","0.6","1.5","0.3","2013/10/07 19:03:00","0.4","2013/10/07 18:30:00","8.5","72.8","20.02","13.9","-4.8","7","2013/10/07 12:00:00","8.1","28.0","26.7","26.5","26.3","26.2","26.5","27.5"
"08","1005.1","1007.6","1007.7","2013/10/08 21:50:00","1002.4","2013/10/08 00:16:00","26.6","29.7","2013/10/08 14:19:00","24.3","2013/10/08 00:45:00","23.8","85","73","2013/10/08 14:20:00","3.3","240","8.9","250","2013/10/08 10:24:00","0.0","0.0","0.0","--","0.0","--","6.6","56.7","16.20","7.3","4.6","5","2013/10/08 14:00:00","7.2","29.5","27.5","27.2","27.2","26.9","26.9","27.3"
"09","1009.5","1012.0","1011.2","2013/10/09 20:15:00","1007.1","2013/10/09 00:53:00","25.8","26.9","2013/10/09 11:01:00","24.6","2013/10/09 06:06:00","22.6","82","78","2013/10/09 11:28:00","6.4","50","12.1","50","2013/10/09 10:12:00","0.0","0.0","0.0","--","0.0","--","0.2","1.7","7.09","10.0","-2.4","3","2013/10/09 11:00:00","9.0","25.6","26.4","27.1","27.0","27.0","27.3","27.3"
