"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1020.5","1023.0","1022.3","2016/12/01 09:32:00","1018.4","2016/12/01 01:50:00","19.4","22.2","2016/12/01 00:17:00","17.7","2016/12/01 12:32:00","16.5","83","73","2016/12/01 19:30:00","9.6","40","19.3","40","2016/12/01 09:30:00","0.1","1.3","0.1","2016/12/01 03:50:00","0.1","2016/12/01 03:50:00","0.0","0.0","0.01","10.3","2.1","1","2016/12/01 13:00:00","9.7","19.3","20.4","20.3","21.0","22.0","22.5","23.8"
"02","1020.2","1022.8","1022.0","2016/12/02 08:18:00","1018.5","2016/12/02 14:44:00","20.0","22.4","2016/12/02 10:57:00","18.8","2016/12/02 20:09:00","15.6","76","67","2016/12/02 09:06:00","10.7","40","21.7","40","2016/12/02 12:05:00","0.0","0.0","0.0","--","0.0","--","3.1","29.2","11.91","9.7","4.4","5","2016/12/02 12:00:00","8.2","19.0","20.1","19.9","20.6","21.6","22.3","23.8"
"03","1017.2","1019.8","1019.6","2016/12/03 09:10:00","1015.2","2016/12/03 20:55:00","21.6","24.1","2016/12/03 12:28:00","19.4","2016/12/03 00:08:00","18.7","83","75","2016/12/03 11:18:00","9.2","40","17.7","40","2016/12/03 09:57:00","0.0","0.0","0.0","--","0.0","--","3.2","30.1","12.94","10.0","2.6","5","2016/12/03 13:00:00","6.7","20.4","21.0","20.7","20.9","21.7","22.2","23.7"
"04","1015.0","1017.5","1016.8","2016/12/04 09:21:00","1013.4","2016/12/04 14:08:00","21.7","22.4","2016/12/04 14:12:00","21.1","2016/12/04 05:30:00","20.3","92","87","2016/12/04 14:12:00","4.7","40","11.2","30","2016/12/04 22:32:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","3.87","7.0","0.8","2","2016/12/04 12:00:00","9.2","21.2","21.7","21.4","21.5","22.2","22.4","23.6"
"05","1015.8","1018.3","1019.9","2016/12/05 23:35:00","1013.3","2016/12/05 03:30:00","21.8","23.9","2016/12/05 10:25:00","20.4","2016/12/05 23:31:00","18.1","79","71","2016/12/05 16:36:00","6.6","40","15.3","40","2016/12/05 12:44:00","0.0","0.0","0.0","--","0.0","--","0.3","2.8","7.99","10.0","4.9","3","2016/12/05 11:00:00","8.2","20.9","21.7","21.6","21.9","22.5","22.5","23.6"
"06","1019.2","1021.8","1021.8","2016/12/06 08:49:00","1017.0","2016/12/06 23:47:00","19.5","20.6","2016/12/06 00:31:00","18.6","2016/12/06 17:06:00","13.2","67","57","2016/12/06 06:28:00","10.2","40","20.3","40","2016/12/06 10:08:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","4.52","7.8","3.3","2","2016/12/06 11:00:00","9.3","18.3","19.9","20.0","20.8","22.0","22.7","23.7"
"07","1015.9","1018.5","1017.8","2016/12/07 07:44:00","1013.7","2016/12/07 14:16:00","19.7","21.8","2016/12/07 13:17:00","18.8","2016/12/07 03:12:00","14.4","71","67","2016/12/07 00:13:00","8.4","40","18.8","40","2016/12/07 00:36:00","0.0","0.0","0.0","--","0.0","--","2.3","21.7","9.49","14.5","3.9","3","2016/12/07 13:00:00","7.7","19.0","19.9","19.7","20.4","21.4","22.3","23.7"
"08","1013.0","1015.5","1015.0","2016/12/08 00:03:00","1011.0","2016/12/08 13:34:00","20.0","21.9","2016/12/08 12:12:00","18.8","2016/12/08 02:41:00","15.9","77","67","2016/12/08 00:58:00","7.9","30","16.0","40","2016/12/08 00:49:00","0.0","0.0","0.0","--","0.0","--","1.1","10.4","7.49","13.7","3.2","4","2016/12/08 12:00:00","9.3","19.1","20.0","19.9","20.4","21.4","22.2","23.7"
"09","1012.3","1014.8","1013.6","2016/12/09 09:48:00","1010.8","2016/12/09 14:38:00","21.3","23.4","2016/12/09 12:37:00","20.3","2016/12/09 04:51:00","15.8","71","63","2016/12/09 14:00:00","9.7","40","21.0","40","2016/12/09 12:45:00","0.0","0.0","0.0","--","0.0","--","7.7","72.8","13.76","21.0","4.7","4","2016/12/09 13:00:00","4.0","19.7","20.5","20.4","20.8","21.5","21.9","23.6"
