"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.0","1003.4","1002.4","2018/08/01 08:01:00","998.8","2018/08/01 16:34:00","30.2","32.9","2018/08/01 12:50:00","28.6","2018/08/01 05:40:00","26.3","80","72","2018/08/01 09:23:00","6.0","250","12.8","270","2018/08/01 12:41:00","0.0","0.0","0.0","--","0.0","--","10.3","77.8","25.28","14.0","7.3","11","2018/08/01 12:00:00","4.0","31.3","31.5","31.3","31.4","31.5","30.7","29.8"
"02","999.9","1002.3","1001.3","2018/08/02 10:09:00","998.1","2018/08/02 15:53:00","30.0","32.7","2018/08/02 14:50:00","28.0","2018/08/02 07:58:00","25.6","78","67","2018/08/02 10:49:00","8.2","240","18.0","240","2018/08/02 11:15:00","0.0","0.0","0.0","--","0.0","--","7.3","55.2","22.66","15.7","7.6","12","2018/08/02 13:00:00","6.2","31.0","31.2","31.2","31.4","31.6","30.7","29.8"
"03","1000.7","1003.1","1002.6","2018/08/03 22:41:00","998.8","2018/08/03 02:35:00","29.7","32.9","2018/08/03 13:45:00","27.1","2018/08/03 23:58:00","25.0","76","69","2018/08/03 07:46:00","5.0","230","15.0","250","2018/08/03 14:46:00","0.0","0.0","0.0","--","0.0","--","5.6","42.4","19.85","18.7","6.3","11","2018/08/03 12:00:00","5.3","30.8","31.0","30.8","31.1","31.5","30.6","29.9"
"04","1002.8","1005.2","1004.3","2018/08/04 23:38:00","1001.3","2018/08/04 16:59:00","29.5","33.1","2018/08/04 11:52:00","26.8","2018/08/04 03:56:00","25.2","78","70","2018/08/04 11:49:00","2.4","270","10.2","250","2018/08/04 08:14:00","0.0","0.0","0.0","--","0.0","--","6.7","50.8","19.66","14.0","5.6","13","2018/08/04 12:00:00","6.2","30.9","31.0","30.8","31.0","31.3","30.6","30.0"
"05","1003.7","1006.1","1005.0","2018/08/05 07:27:00","1002.2","2018/08/05 16:34:00","29.8","34.5","2018/08/05 11:28:00","27.0","2018/08/05 04:48:00","24.8","75","59","2018/08/05 12:07:00","2.8","30","10.4","20","2018/08/05 15:07:00","0.0","0.0","0.0","--","0.0","--","9.6","72.9","22.53","13.3","6.9","12","2018/08/05 12:00:00","5.5","31.0","31.2","31.0","31.2","31.5","30.8","30.0"
"06","1002.7","1005.1","1004.7","2018/08/06 08:01:00","1000.1","2018/08/06 17:20:00","30.1","33.3","2018/08/06 13:17:00","26.6","2018/08/06 04:58:00","24.9","74","61","2018/08/06 19:05:00","3.1","220","9.0","40","2018/08/06 16:49:00","0.0","0.0","0.0","--","0.0","--","11.0","83.7","24.71","11.7","7.3","11","2018/08/06 12:00:00","3.3","31.1","31.4","31.4","31.5","31.7","31.0","30.0"
"07","1001.6","1004.1","1003.3","2018/08/07 06:07:00","999.3","2018/08/07 17:43:00","29.9","33.3","2018/08/07 10:47:00","26.8","2018/08/07 23:38:00","24.7","74","65","2018/08/07 18:48:00","4.3","40","15.6","40","2018/08/07 16:08:00","0.0","0.0","0.0","--","0.0","--","11.0","83.8","26.04","12.3","8.4","11","2018/08/07 13:00:00","2.5","30.8","31.5","31.4","31.6","31.9","31.1","30.1"
"08","1002.2","1004.6","1003.2","2018/08/08 09:04:00","1001.0","2018/08/08 16:59:00","29.6","33.9","2018/08/08 11:15:00","26.5","2018/08/08 04:01:00","23.9","72","62","2018/08/08 11:15:00","3.5","40","11.6","40","2018/08/08 15:24:00","0.0","0.0","0.0","--","0.0","--","9.4","71.7","24.73","14.3","-6.7","11","2018/08/08 13:00:00","2.7","30.8","31.5","31.4","31.6","31.9","31.2","30.3"
"09","1002.6","1005.0","1003.8","2018/08/09 09:02:00","1001.1","2018/08/09 18:07:00","29.0","33.7","2018/08/09 11:19:00","25.4","2018/08/09 03:02:00","24.4","77","58","2018/08/09 12:08:00","2.6","40","9.7","50","2018/08/09 14:48:00","1.8","0.4","1.0","2018/08/09 04:34:00","1.8","2018/08/09 04:32:00","9.4","71.8","24.11","15.3","6.6","12","2018/08/09 12:00:00","2.8","30.6","31.2","31.2","31.6","31.8","31.3","30.5"
