"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1020.0","1022.7","1022.2","2018/02/01 09:41:00","1017.2","2018/02/01 17:40:00","10.9","12.8","2018/02/01 19:09:00","9.4","2018/02/01 04:50:00","8.6","86","80","2018/02/01 19:25:00","8.2","30","17.6","30","2018/02/01 01:23:00","4.2","11.3","0.5","2018/02/01 00:13:00","1.0","2018/02/01 00:01:00","0.0","0.0","0.00","3.5","-1.2","0","2018/02/01 12:00:00","10.0","12.0","13.4","13.7","14.5","15.9","16.8","19.1"
"02","1021.3","1023.9","1023.9","2018/02/02 22:52:00","1018.3","2018/02/02 02:45:00","12.2","14.3","2018/02/02 11:34:00","10.5","2018/02/02 22:11:00","9.3","83","72","2018/02/02 23:38:00","7.9","30","17.0","30","2018/02/02 21:39:00","2.1","6.8","0.5","2018/02/02 15:45:00","0.8","2018/02/02 06:05:00","0.0","0.0","0.77","8.7","-0.5","1","2018/02/02 11:00:00","10.0","12.5","13.6","13.8","14.3","15.4","16.3","18.8"
"03","1023.5","1026.2","1024.6","2018/02/03 20:16:00","1021.4","2018/02/03 15:47:00","9.3","11.1","2018/02/03 00:01:00","7.8","2018/02/03 20:01:00","6.2","81","70","2018/02/03 00:36:00","9.0","30","19.9","30","2018/02/03 02:33:00","9.6","16.2","0.5","2018/02/03 01:03:00","1.5","2018/02/03 17:58:00","0.0","0.0","0.00","4.8","-1.6","0","2018/02/03 12:00:00","10.0","10.6","12.0","12.5","13.7","14.8","15.9","18.5"
"04","1023.6","1026.3","1024.8","2018/02/04 22:02:00","1021.8","2018/02/04 14:30:00","8.5","9.1","2018/02/04 12:42:00","7.8","2018/02/04 18:36:00","6.4","86","84","2018/02/04 00:03:00","8.4","30","18.2","30","2018/02/04 11:05:00","16.5","24.0","0.5","2018/02/04 03:43:00","2.5","2018/02/04 03:37:00","0.0","0.0","0.02","5.0","-0.7","1","2018/02/04 13:00:00","10.0","10.1","11.1","11.4","12.3","13.8","14.8","18.3"
"05","1024.2","1026.9","1026.0","2018/02/05 09:10:00","1022.2","2018/02/05 15:40:00","8.2","9.9","2018/02/05 23:17:00","6.4","2018/02/05 04:55:00","4.6","78","61","2018/02/05 22:41:00","7.1","30","15.7","30","2018/02/05 03:38:00","18.3","13.2","1.0","2018/02/05 02:39:00","3.5","2018/02/05 02:31:00","0.0","0.0","0.00","5.8","-1.1","0","2018/02/05 14:00:00","9.7","9.2","10.2","10.6","11.5","12.9","14.0","17.7"
"06","1021.7","1024.3","1024.4","2018/02/06 01:16:00","1019.4","2018/02/06 18:55:00","10.6","12.2","2018/02/06 11:32:00","9.5","2018/02/06 04:01:00","3.4","61","57","2018/02/06 12:28:00","8.5","40","17.0","30","2018/02/06 09:58:00","0.0","0.0","0.0","--","0.0","--","0.5","4.5","6.99","10.0","-2.8","3","2018/02/06 12:00:00","8.2","9.3","10.5","10.7","11.3","12.6","13.7","17.4"
"07","1017.9","1020.5","1020.6","2018/02/07 00:01:00","1015.2","2018/02/07 03:08:00","11.4","12.3","2018/02/07 05:27:00","10.0","2018/02/07 02:45:00","7.7","78","62","2018/02/07 00:41:00","6.3","40","16.9","50","2018/02/07 05:03:00","4.9","7.0","0.4","2018/02/07 23:44:00","1.2","2018/02/07 22:50:00","0.0","0.0","3.33","9.0","-0.6","2","2018/02/07 13:00:00","9.7","10.8","11.2","11.2","11.6","12.7","13.8","17.0"
"08","1016.2","1018.8","1019.2","2018/02/08 00:01:00","1013.9","2018/02/08 15:32:00","13.0","15.5","2018/02/08 12:35:00","10.5","2018/02/08 02:41:00","9.2","78","63","2018/02/08 13:17:00","6.7","40","16.7","40","2018/02/08 17:03:00","5.9","5.1","0.5","2018/02/08 02:01:00","2.0","2018/02/08 01:29:00","0.2","1.8","8.26","13.0","2.2","4","2018/02/08 12:00:00","8.3","11.9","12.1","12.2","12.4","13.3","13.8","16.6"
"09","1014.0","1016.6","1015.4","2018/02/09 08:53:00","1012.3","2018/02/09 14:02:00","15.0","18.5","2018/02/09 10:48:00","13.7","2018/02/09 04:18:00","12.9","87","80","2018/02/09 00:01:00","3.3","10","9.9","10","2018/02/09 15:11:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","4.07","6.8","-0.1","--","--","9.3","14.0","13.9","13.8","13.6","14.1","14.2","16.6"
