"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1008.6","1011.0","1010.0","2014/09/01 08:19:00","1006.9","2014/09/01 15:48:00","28.9","32.5","2014/09/01 12:19:00","26.0","2014/09/01 05:43:00","25.0","80","66","2014/09/01 12:02:00","2.8","200","7.3","300","2014/09/01 12:59:00","0.0","0.0","0.0","--","0.0","--","10.4","82.7","25.53","9.8","6.5","10","2014/09/01 12:00:00","1.8","32.6","32.8","32.6","32.3","31.8","31.2","30.5"
"02","1008.2","1010.6","1009.8","2014/09/02 09:39:00","1006.3","2014/09/02 16:16:00","28.8","32.2","2014/09/02 14:03:00","26.2","2014/09/02 06:03:00","24.9","80","70","2014/09/02 11:50:00","3.7","250","9.9","260","2014/09/02 11:06:00","0.0","0.0","0.0","--","0.0","--","9.1","72.5","21.82","10.8","6.4","7","2014/09/02 12:00:00","3.8","32.1","32.4","32.1","32.1","31.7","31.2","30.6"
"03","1006.4","1008.8","1007.9","2014/09/03 09:00:00","1004.0","2014/09/03 16:27:00","29.0","32.1","2014/09/03 12:20:00","25.9","2014/09/03 05:17:00","24.5","77","63","2014/09/03 13:55:00","4.1","240","12.8","240","2014/09/03 13:07:00","0.0","0.0","0.0","--","0.0","--","11.4","91.1","25.80","10.8","7.4","9","2014/09/03 12:00:00","2.5","32.2","32.3","32.0","31.8","31.6","31.1","30.6"
"04","1005.3","1007.7","1006.5","2014/09/04 08:39:00","1003.9","2014/09/04 15:20:00","28.7","31.2","2014/09/04 13:21:00","26.4","2014/09/04 01:48:00","24.9","80","72","2014/09/04 13:22:00","4.5","30","12.9","30","2014/09/04 16:00:00","0.0","0.0","0.0","--","0.0","--","4.2","33.6","15.94","9.0","5.7","6","2014/09/04 12:00:00","6.8","29.9","31.4","31.7","31.6","31.3","31.1","30.6"
"05","1003.8","1006.2","1005.2","2014/09/05 00:01:00","1001.8","2014/09/05 15:18:00","29.9","34.5","2014/09/05 10:23:00","26.0","2014/09/05 03:45:00","24.9","75","57","2014/09/05 10:26:00","6.0","50","16.5","40","2014/09/05 16:49:00","0.0","0.0","0.0","--","0.0","--","11.1","89.0","25.72","14.0","8.2","9","2014/09/05 13:00:00","2.8","30.5","31.5","31.6","31.6","31.2","30.9","30.6"
"06","1004.6","1007.0","1005.9","2014/09/06 10:02:00","1003.1","2014/09/06 03:29:00","29.9","33.3","2014/09/06 09:03:00","27.0","2014/09/06 05:31:00","25.2","76","61","2014/09/06 09:06:00","5.5","30","14.6","30","2014/09/06 15:24:00","0.0","0.0","0.0","--","0.0","--","11.3","90.8","25.61","15.0","7.6","9","2014/09/06 12:00:00","3.0","31.6","32.0","31.9","31.7","31.2","30.9","29.6"
"07","1006.1","1008.6","1007.4","2014/09/07 22:55:00","1004.9","2014/09/07 15:07:00","29.2","32.8","2014/09/07 11:49:00","26.1","2014/09/07 03:08:00","25.3","80","67","2014/09/07 09:48:00","1.9","40","7.6","20","2014/09/07 14:06:00","0.0","0.0","0.0","--","0.0","--","7.2","58.0","21.99","13.7","5.8","9","2014/09/07 12:00:00","4.5","32.6","31.5","32.3","31.8","31.4","30.9","30.6"
"08","1005.8","1008.3","1007.0","2014/09/08 08:33:00","1004.1","2014/09/08 15:09:00","29.1","32.6","2014/09/08 12:38:00","26.2","2014/09/08 04:23:00","25.5","82","71","2014/09/08 12:38:00","2.9","240","9.1","270","2014/09/08 11:38:00","0.0","0.0","0.0","--","0.0","--","10.5","84.7","24.25","13.0","6.5","8","2014/09/08 12:00:00","4.7","31.9","32.2","32.1","31.8","31.5","30.9","30.6"
"09","1006.1","1008.6","1007.5","2014/09/09 09:07:00","1004.4","2014/09/09 16:32:00","29.1","32.3","2014/09/09 14:02:00","26.4","2014/09/09 04:53:00","25.2","80","66","2014/09/09 11:05:00","2.7","250","9.0","260","2014/09/09 10:18:00","0.0","0.0","0.0","--","0.0","--","10.4","84.1","24.78","14.3","6.3","9","2014/09/09 12:00:00","4.3","33.0","32.6","32.3","31.4","31.7","31.0","30.6"
"10","1006.6","1009.0","1008.4","2014/09/10 23:38:00","1005.2","2014/09/10 03:12:00","29.1","32.3","2014/09/10 11:38:00","26.6","2014/09/10 03:19:00","25.0","79","64","2014/09/10 12:51:00","2.1","270","7.0","240","2014/09/10 13:20:00","0.0","0.0","0.0","--","0.0","--","8.3","67.2","22.25","11.0","5.8","8","2014/09/10 13:00:00","4.7","33.0","32.7","32.5","32.3","31.9","31.1","30.7"
"11","1006.3","1008.8","1008.2","2014/09/11 00:01:00","1004.4","2014/09/11 16:36:00","29.6","32.6","2014/09/11 13:24:00","26.7","2014/09/11 05:09:00","25.3","78","65","2014/09/11 17:04:00","1.3","310","6.4","330","2014/09/11 11:26:00","0.0","0.0","0.0","--","0.0","--","8.2","66.6","22.99","8.0","6.0","8","2014/09/11 13:00:00","5.5","34.2","33.3","32.8","32.5","32.0","31.3","30.8"
"12","1006.0","1008.4","1007.4","2014/09/12 09:29:00","1004.4","2014/09/12 15:08:00","29.3","32.6","2014/09/12 12:16:00","27.1","2014/09/12 05:25:00","25.8","81","67","2014/09/12 12:07:00","3.6","210","11.0","230","2014/09/12 09:41:00","0.0","0.0","0.0","--","0.0","--","7.1","57.7","19.94","9.0","5.7","9","2014/09/12 13:00:00","3.7","33.2","33.1","32.6","32.5","32.1","31.4","30.8"
"13","1005.5","1007.9","1006.8","2014/09/13 08:40:00","1004.0","2014/09/13 14:40:00","29.4","32.4","2014/09/13 12:42:00","26.3","2014/09/13 05:52:00","25.0","78","66","2014/09/13 11:37:00","2.7","280","7.5","210","2014/09/13 01:28:00","0.0","0.0","0.0","--","0.0","--","10.5","85.6","22.45","10.7","8.0","8","2014/09/13 13:00:00","4.8","33.1","32.8","32.6","32.4","32.0","31.5","30.9"
"14","1002.8","1005.2","1005.1","2014/09/14 00:01:00","1000.8","2014/09/14 14:51:00","30.4","34.6","2014/09/14 10:48:00","27.5","2014/09/14 01:13:00","24.7","72","57","2014/09/14 10:33:00","9.0","40","20.8","30","2014/09/14 12:59:00","0.0","0.0","0.0","--","0.0","--","10.9","89.0","24.19","12.5","9.7","9","2014/09/14 13:00:00","3.0","31.8","31.8","32.1","32.1","31.7","31.5","31.0"
"15","1000.9","1003.3","1004.6","2014/09/15 23:52:00","999.5","2014/09/15 02:29:00","31.7","37.9","2014/09/15 10:35:00","28.5","2014/09/15 23:11:00","24.9","68","47","2014/09/15 10:34:00","4.7","50","18.6","60","2014/09/15 02:27:00","0.0","0.0","0.0","--","0.0","--","11.3","92.5","25.04","13.7","8.5","9","2014/09/15 12:00:00","1.5","34.4","33.7","32.7","32.2","31.7","31.3","31.0"
"16","1007.2","1009.6","1010.3","2014/09/16 23:28:00","1003.9","2014/09/16 02:59:00","29.8","32.9","2014/09/16 10:41:00","26.8","2014/09/16 05:55:00","26.4","82","69","2014/09/16 08:41:00","2.3","240","7.5","230","2014/09/16 17:29:00","0.0","0.0","0.0","--","0.0","--","9.3","76.3","23.44","9.2","6.5","8","2014/09/16 12:00:00","1.7","33.9","33.3","32.8","32.7","32.1","31.3","30.9"
"17","1010.4","1012.8","1011.6","2014/09/17 08:57:00","1009.4","2014/09/17 14:38:00","29.8","32.6","2014/09/17 13:00:00","27.7","2014/09/17 06:15:00","26.2","81","72","2014/09/17 10:27:00","3.2","40","10.5","20","2014/09/17 14:26:00","0.0","0.0","0.0","--","0.0","--","8.0","65.7","21.46","8.3","7.2","9","2014/09/17 12:00:00","3.0","33.5","33.2","32.9","32.7","32.3","31.5","31.0"
