StnPres,SeaPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,Td dew point,RH,RHMin,WS,WD,WSGust,WDGust,PrecpHour,PrecpMax10,PrecpMax60,SunShine,SunshineRate,GloblRad,VisbMean,EvapA,UVI Max,Cloud Amount,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm,Precp
-0.5062946273794217,-0.5034435737170163,-0.512362580709061,-0.5232416588147618,1.2288131958784283,1.2238387090467768,0.9838148789960584,0.8319410415461234,-0.8231041804100456,-0.8315656551105134,-1.2018634073795953,0.6255325377748279,-1.402367486218729,1.779451442464777,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.0204956153402818,0.8028831333428076,1.3312858681881794,0.356710693225963,1.4039701516332002,0.5471190689954989,-0.9745811646128119,1.5596591660654122,1.3758406274118367,1.3761411747400365,1.307358203910426,1.2079855768580272,1.2211582128858685,0.9838339486571286,-0.3116025539572236
-0.33538034786771265,-0.34940942173107,-0.26655879476170324,-0.2621687264322974,1.1911340325752442,1.1879639966706383,1.172818397642045,0.95687359198518,-0.48324717758774455,-0.9236103799074378,-0.9750600555076295,1.9573288275999428,-0.05958391289312185,0.8590247088561186,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.2988126013421766,1.055854431955006,1.3676505548787,-0.10987325824747858,1.498929949681918,0.26750814380300103,-0.9064853492361574,1.7890744548839348,1.5028758709147585,1.469095347663641,1.3835462333131638,1.2079855768580272,1.285474097650865,1.00847536978146,-0.3116025539572236
-0.33538034786771265,-0.33400600653247187,-0.3587352144919646,-0.277525957748916,1.0969361243172833,1.008590434789948,1.0216155827252555,0.7962460271349644,-0.7098185128026119,-0.37134203112589154,-0.5214533517636986,1.035316011567171,-0.4461428203656452,1.0431100555778503,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.322005683509001,1.0788518227379331,1.0997640295918663,1.1861932736231928,0.9054312118774298,0.26750814380300103,-0.02123974933965172,1.6655431455201148,1.466580087056781,1.4505045130789198,1.3835462333131638,1.2674512201420232,1.3069127259058642,1.0331167909057903,-0.3116025539572236
-0.7082842304387028,-0.7190913864973376,-0.7735291032781145,-0.6921712032975319,1.1346152876204674,0.9547783662257413,1.1161173420482489,0.9211785775740211,-0.48324717758774455,0.36501576724950335,-0.10564720666509475,1.1377618800152567,-0.2020003524882622,1.0431100555778503,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.5771295873440718,1.3117004044150706,1.4779567711732784,0.6159239996000972,1.309010353584482,0.5471190689954989,-0.3957667339112502,1.983195083884223,1.5391716547727368,1.5062770168330828,1.402593240663848,1.287273101236689,1.3069127259058642,1.0577582120301217,-0.3116025539572236
-0.7859725393076599,-0.7961084624903108,-0.7274408934129926,-0.6460995093476759,1.2664923591816126,1.026527790978017,1.4752240274756239,0.903331070368442,-0.8231041804100456,-0.5554314807197402,0.7259650835321121,1.1377618800152567,0.34732020023585,1.227195402299582,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,0.8813371223393343,0.6792721578845743,1.0524899368941896,0.47767690286722553,1.855029192364611,0.5471190689954989,0.48947886598525553,1.859663774520403,1.5210237628437475,1.5062770168330828,1.4406872553652166,1.3070949823313536,1.3283513541608625,1.131682475403115,-0.3116025539572236
-0.4130686567366697,-0.411023082525445,-0.3894606877353734,-0.3543121143319917,1.0592569610140983,0.936841010037672,1.0783166383190517,0.7962460271349644,-0.5965328451951782,-0.5554314807197402,-0.370251117182388,1.3426536169114283,0.04214211538912111,1.0431100555778503,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,0.7653717115052112,0.5729092255135362,0.766421068262096,0.6159239996000972,0.9291711613896092,0.5471190689954989,1.068293296686817,1.6655431455201148,1.4847279789857695,1.469095347663641,1.3835462333131638,1.287273101236689,1.3283513541608625,1.1563238965274454,-0.3116025539572236
-0.024627112391884552,-0.04134111775917739,-0.09756869192289365,-0.04716748799968884,1.0780965426656908,1.0444651471660864,0.908213471537664,0.7248559983126466,-0.8231041804100456,-0.739520930313589,-0.8238578209263192,0.9328701431190851,-1.097189401372,1.0431100555778503,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.623515751677721,1.3605698598287905,1.3931058355620642,1.7737434347378969,0.9766510604139683,0.5471190689954989,0.2851914198552927,1.9655477539751056,1.648059006346669,1.5620495205872458,1.4597342627159013,1.3467387445206849,1.3497899824158617,1.1563238965274454,-0.3116025539572236
-0.25769203899875565,-0.27239234573809684,-0.28192153138341636,-0.30824042038215327,1.0404173793625064,1.0803398595422238,1.0972169901836506,0.6713134766959078,-0.8231041804100456,-0.6474762055166646,-1.0506611727982849,0.6255325377748279,-0.8733921391510655,0.7669820354952528,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,0.8813371223393343,0.68214683173244,0.9021825652400388,1.3590021445392824,1.0003910099261477,0.26750814380300103,0.48947886598525553,1.736132465156583,1.5210237628437475,1.5248678514178033,1.4597342627159013,1.3665606256153497,1.3712286106708609,1.2056067387761071,-0.3116025539572236
-0.4907569656056267,-0.48804015851841814,-0.5430880539524698,-0.3543121143319917,0.9838986344077298,0.9906530786018792,0.889313119673065,0.7427035055182257,-0.5965328451951782,-0.5554314807197402,-1.2018634073795953,0.7279784062229137,-1.402367486218729,1.779451442464777,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,0.04638616433364881,-0.07964173795202165,0.6936916948810554,0.7887328705161868,0.8579513128530707,0.26750814380300103,0.2851914198552927,1.6831904754292322,1.4484321951277919,1.4505045130789198,1.4216402480145325,1.3665606256153497,1.3712286106708609,1.2056067387761071,-0.3116025539572236
-0.5839829362483787,-0.5804606497099895,-0.6506272103044444,-0.5078844274981431,1.0027382160593223,1.026527790978017,0.9460141752668612,0.7427035055182257,-0.5965328451951782,-0.6474762055166646,-0.7104561449903365,-0.5013720151541153,-1.0564989900591029,-0.7977434116394665,-0.45589651751435595,-0.3620637363453529,-0.3242464716186264,1.0436886975071062,0.8345045456693322,1.178554184087994,-0.10987325824747858,-2.3469418712911665,0.5471190689954989,-1.212916518431102,1.7714271249748177,1.5391716547727368,1.5248678514178033,1.4406872553652166,1.3070949823313536,1.3712286106708609,1.2302481599004385,-0.3116025539572236
