"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunshineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.6","1021.2","1019.9","2013/12/01 08:40:00","1017.1","2013/12/01 13:06:00","16.3","20.9","2013/12/01 11:03:00","11.2","2013/12/01 06:18:00","9.8","67","52","2013/12/01 10:19:00","5.3","40","14.9","40","2013/12/01 12:29:00","0.0","0.0","0.0","--","0.0","--","10.1","95.0","15.66","12.7","4.3","4","2013/12/01 12:00:00","0.8","16.2","16.6","17.0","17.4","18.5","20.7","23.3"
"02","1018.0","1020.6","1019.8","2013/12/02 09:48:00","1015.8","2013/12/02 14:38:00","17.3","22.1","2013/12/02 11:57:00","13.4","2013/12/02 04:47:00","9.1","59","42","2013/12/02 11:23:00","6.0","60","15.8","50","2013/12/02 14:39:00","0.0","0.0","0.0","--","0.0","--","9.9","93.2","15.24","14.7","4.8","4","2013/12/02 12:00:00","0.0","16.0","16.6","16.9","17.3","17.7","20.0","22.6"
"03","1016.7","1019.2","1018.5","2013/12/03 08:00:00","1015.0","2013/12/03 14:12:00","16.7","21.6","2013/12/03 10:35:00","10.5","2013/12/03 23:31:00","9.4","63","41","2013/12/03 10:25:00","4.3","40","12.2","40","2013/12/03 14:05:00","0.0","0.0","0.0","--","0.0","--","9.8","92.3","15.21","15.0","3.7","4","2013/12/03 12:00:00","0.2","15.4","16.9","17.3","17.6","18.2","20.0","22.3"
"04","1015.6","1018.2","1017.1","2013/12/04 08:30:00","1013.6","2013/12/04 13:45:00","15.8","22.1","2013/12/04 12:25:00","8.4","2013/12/04 06:35:00","10.2","70","48","2013/12/04 10:40:00","3.8","40","14.1","50","2013/12/04 18:01:00","0.0","0.0","0.0","--","0.0","--","6.5","61.3","12.42","13.0","4.1","3","2013/12/04 12:00:00","3.5","15.8","16.7","16.9","17.3","17.9","19.8","22.1"
"05","1014.2","1016.7","1016.2","2013/12/05 00:24:00","1012.6","2013/12/05 15:24:00","19.0","23.3","2013/12/05 11:19:00","15.1","2013/12/05 02:33:00","11.7","63","50","2013/12/05 11:36:00","5.2","60","13.3","60","2013/12/05 09:50:00","0.0","0.0","0.0","--","0.0","--","9.2","86.8","14.18","10.0","4.8","4","2013/12/05 12:00:00","2.2","18.1","17.4","17.6","17.8","18.3","19.6","21.9"
"06","1013.6","1016.2","1015.8","2013/12/06 09:12:00","1012.2","2013/12/06 13:46:00","18.8","21.6","2013/12/06 13:36:00","16.0","2013/12/06 04:22:00","12.9","70","57","2013/12/06 11:15:00","6.0","60","13.4","60","2013/12/06 08:43:00","0.0","0.0","0.0","--","0.0","--","5.5","51.9","11.71","9.3","5.2","4","2013/12/06 13:00:00","5.7","18.4","18.1","18.6","18.3","18.7","19.7","21.8"
"07","1013.2","1015.7","1014.8","2013/12/07 09:22:00","1011.7","2013/12/07 14:29:00","20.9","23.6","2013/12/07 10:35:00","19.0","2013/12/07 05:23:00","13.9","65","56","2013/12/07 09:37:00","6.9","60","16.4","60","2013/12/07 09:55:00","0.0","0.0","0.0","--","0.0","--","3.1","29.3","10.77","10.0","3.7","3","2013/12/07 12:00:00","5.5","19.7","18.8","18.8","19.0","19.0","20.0","21.7"
"08","1011.1","1013.7","1013.7","2013/12/08 08:31:00","1009.1","2013/12/08 13:47:00","21.7","28.2","2013/12/08 13:01:00","16.7","2013/12/08 03:16:00","16.8","75","52","2013/12/08 13:07:00","1.9","60","7.2","110","2013/12/08 09:18:00","0.0","0.0","0.0","--","0.0","--","4.9","46.3","11.73","11.7","2.8","4","2013/12/08 13:00:00","5.3","21.9","20.3","20.0","19.8","19.7","20.2","21.7"
"09","1010.9","1013.4","1013.8","2013/12/09 23:50:00","1008.6","2013/12/09 02:57:00","20.2","23.0","2013/12/09 14:01:00","16.7","2013/12/09 23:59:00","16.5","80","65","2013/12/09 14:13:00","4.4","60","17.0","50","2013/12/09 22:04:00","0.5","0.8","0.5","2013/12/09 09:27:00","0.5","2013/12/09 09:03:00","2.1","19.9","5.77","9.0","-3.7","2","2013/12/09 12:00:00","7.0","20.7","20.4","20.4","20.3","20.4","20.5","21.6"
"10","1014.5","1017.1","1017.3","2013/12/10 09:35:00","1012.2","2013/12/10 14:08:00","16.0","17.7","2013/12/10 13:12:00","14.6","2013/12/10 06:31:00","9.3","64","60","2013/12/10 11:59:00","8.6","50","18.5","40","2013/12/10 04:17:00","0.0","0.0","0.0","--","0.0","--","0.2","1.9","6.66","5.8","4.0","3","2013/12/10 13:00:00","9.8","15.6","17.4","18.1","18.8","19.3","20.9","21.8"
"11","1016.9","1019.5","1018.4","2013/12/11 20:13:00","1014.8","2013/12/11 00:08:00","16.1","17.1","2013/12/11 00:52:00","15.1","2013/12/11 16:37:00","8.7","62","54","2013/12/11 16:46:00","7.7","50","16.3","50","2013/12/11 21:07:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","3.70","8.7","4.0","1","2013/12/11 11:00:00","9.8","15.6","16.9","17.5","18.1","18.6","20.5","21.9"
"12","1014.8","1017.4","1017.3","2013/12/12 00:05:00","1011.9","2013/12/12 14:59:00","17.3","19.7","2013/12/12 13:11:00","15.4","2013/12/12 02:33:00","11.9","71","61","2013/12/12 00:01:00","4.2","60","15.0","50","2013/12/12 00:44:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","4.04","8.7","1.0","1","2013/12/12 14:00:00","10.0","17.2","17.3","17.5","17.8","18.4","20.0","21.9"
"13","1016.6","1019.2","1018.6","2013/12/13 09:23:00","1015.0","2013/12/13 03:46:00","18.4","19.1","2013/12/13 10:36:00","17.1","2013/12/13 00:04:00","14.7","79","71","2013/12/13 20:42:00","6.5","50","18.9","50","2013/12/13 20:47:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","0.44","8.8","-0.7","1","2013/12/13 13:00:00","9.8","17.3","18.0","18.2","18.3","18.6","19.8","21.7"
"14","1016.5","1019.0","1019.8","2013/12/14 08:23:00","1014.0","2013/12/14 23:46:00","19.4","21.2","2013/12/14 11:25:00","17.9","2013/12/14 07:18:00","16.3","82","71","2013/12/14 00:33:00","8.7","50","17.1","50","2013/12/14 16:09:00","2.0","1.5","0.5","2013/12/14 05:39:00","1.0","2013/12/14 06:19:00","0.1","0.9","3.43","8.2","-2.5","2","2013/12/14 12:00:00","9.5","18.4","18.6","18.6","18.7","18.8","19.8","21.7"
"15","1014.5","1017.1","1017.9","2013/12/15 09:29:00","1012.0","2013/12/15 15:00:00","19.0","20.4","2013/12/15 00:14:00","17.7","2013/12/15 09:36:00","17.6","92","79","2013/12/15 20:12:00","9.7","50","21.0","80","2013/12/15 14:54:00","38.0","11.0","1.5","2013/12/15 06:48:00","6.5","2013/12/15 08:01:00","0.0","0.0","1.06","7.2","-1.8","1","2013/12/15 13:00:00","9.8","18.0","18.7","18.8","19.1","19.1","19.8","21.5"
"16","1011.0","1013.5","1015.4","2013/12/16 22:22:00","1008.6","2013/12/16 07:13:00","19.0","23.2","2013/12/16 09:58:00","14.2","2013/12/16 22:54:00","16.8","88","75","2013/12/16 08:54:00","8.0","50","19.2","10","2013/12/16 21:02:00","19.5","11.3","6.0","2013/12/16 20:11:00","10.0","2013/12/16 19:26:00","0.2","1.9","3.65","11.2","-0.5","2","2013/12/16 11:00:00","9.3","17.5","18.8","19.1","19.1","19.3","20.0","21.3"
"17","1011.6","1014.2","1014.6","2013/12/17 20:02:00","1008.8","2013/12/17 13:11:00","15.3","16.2","2013/12/17 10:29:00","14.4","2013/12/17 17:13:00","15.2","100","95","2013/12/17 12:03:00","7.3","40","18.2","30","2013/12/17 13:42:00","46.5","24.0","1.5","2013/12/17 02:04:00","5.0","2013/12/17 18:15:00","0.0","0.0","0.25","6.3","-1.6","1","2013/12/17 12:00:00","10.0","15.3","16.6","17.0","17.5","18.2","18.4","21.1"
"18","1015.8","1018.4","1018.9","2013/12/18 21:56:00","1011.3","2013/12/18 01:49:00","13.7","14.9","2013/12/18 00:01:00","12.2","2013/12/18 09:50:00","11.3","86","69","2013/12/18 18:46:00","7.5","40","17.8","40","2013/12/18 21:10:00","21.0","9.5","2.5","2013/12/18 02:50:00","9.0","2013/12/18 02:21:00","0.0","0.0","0.65","9.3","-1.6","1","2013/12/18 11:00:00","10.0","12.6","15.3","16.1","16.7","17.4","17.8","20.6"
"19","1020.1","1022.7","1021.8","2013/12/19 22:31:00","1017.8","2013/12/19 05:01:00","13.4","14.2","2013/12/19 00:18:00","12.8","2013/12/19 06:25:00","8.2","71","61","2013/12/19 22:50:00","8.7","50","18.3","40","2013/12/19 23:10:00","0.0","0.0","0.0","--","0.0","--","0.0","0.0","0.00","7.0","2.5","0","2013/12/19 11:00:00","9.0","11.8","14.0","14.8","15.5","16.5","18.0","20.4"
"20","1021.1","1023.7","1023.1","2013/12/20 10:00:00","1019.1","2013/12/20 04:50:00","13.7","15.2","2013/12/20 09:27:00","12.2","2013/12/20 21:18:00","8.7","72","61","2013/12/20 00:12:00","8.5","60","17.9","60","2013/12/20 23:00:00","0.0","0.0","0.0","--","0.0","--","0.2","1.9","4.60","9.7","-0.5","2","2013/12/20 12:00:00","8.7","12.6","13.9","14.5","15.0","15.8","17.7","22.1"
"21","1022.7","1025.3","1024.1","2013/12/21 09:23:00","1020.1","2013/12/21 00:15:00","12.7","14.3","2013/12/21 12:18:00","11.0","2013/12/21 06:54:00","9.4","81","68","2013/12/21 22:18:00","8.4","50","17.1","70","2013/12/21 00:44:00","4.0","4.5","0.5","2013/12/21 02:24:00","2.0","2013/12/21 02:53:00","0.0","0.0","1.70","6.0","2.1","1","2013/12/21 13:00:00","10.0","11.8","13.7","14.1","14.7","15.7","17.5","19.9"
"22","1021.4","1024.0","1024.1","2013/12/22 09:02:00","1018.6","2013/12/22 14:49:00","14.9","17.2","2013/12/22 14:38:00","13.1","2013/12/22 00:15:00","10.0","72","65","2013/12/22 13:24:00","8.1","50","16.0","40","2013/12/22 01:02:00","0.0","0.0","0.0","--","0.0","--","0.7","6.6","5.03","9.7","2.1","2","2013/12/22 14:00:00","8.7","14.3","14.2","14.4","14.8","15.3","17.6","19.6"
"23","1019.7","1022.3","1021.4","2013/12/23 07:39:00","1017.8","2013/12/23 14:16:00","15.3","16.4","2013/12/23 10:03:00","14.3","2013/12/23 23:19:00","12.4","83","75","2013/12/23 03:47:00","8.1","50","17.2","50","2013/12/23 23:54:00","4.5","2.2","1.0","2013/12/23 21:02:00","1.5","2013/12/23 20:12:00","0.0","0.0","3.45","8.7","-3.6","2","2013/12/23 13:00:00","9.2","14.1","15.0","15.2","15.4","15.8","17.2","19.6"
"24","1020.9","1023.5","1023.9","2013/12/24 09:06:00","1018.8","2013/12/24 15:04:00","14.3","15.4","2013/12/24 13:25:00","12.6","2013/12/24 06:33:00","11.9","86","72","2013/12/24 23:30:00","9.9","60","20.2","50","2013/12/24 23:00:00","9.0","4.6","1.0","2013/12/24 01:35:00","2.5","2013/12/24 04:36:00","0.3","2.8","4.74","7.0","-1.3","2","2013/12/24 12:00:00","10.0","13.3","14.6","15.0","15.3","15.9","16.6","19.4"
